"",BBAI3.Q.DE.N.V.LE.F29AAB.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:17,
2005-10,914,
2006-01,1048,
2006-04,1068,
2006-07,1167,
2006-10,1356,
2007-01,1526,
2007-04,1658,
2007-07,1566,
2007-10,1752,
2008-01,1655,
2008-04,2453,
2008-07,2743,
2008-10,2244,
2009-01,2198,
2009-04,2094,
2009-07,1839,
2009-10,1799,
2010-01,1733,
2010-04,1294,
2010-07,1034,
2010-10,1066,
2011-01,1197,
2011-04,1077,
2011-07,1148,
2011-10,1139,
2012-01,988,
2012-04,1077,
2012-07,1108,
2012-10,997,
2013-01,987,
2013-04,1178,
2013-07,1052,
2013-10,1062,
2014-01,887,
2014-04,889,
2014-07,1134,
