"",BBAI3.Q.DE.N.V.LE.F33.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:33,
2005-10,130393,
2006-01,130238,
2006-04,129970,
2006-07,132915,
2006-10,127567,
2007-01,137105,
2007-04,132129,
2007-07,131922,
2007-10,130722,
2008-01,126684,
2008-04,122847,
2008-07,124960,
2008-10,133719,
2009-01,127153,
2009-04,133593,
2009-07,138314,
2009-10,141476,
2010-01,156832,
2010-04,164317,
2010-07,166453,
2010-10,165915,
2011-01,168723,
2011-04,173054,
2011-07,178807,
2011-10,185956,
2012-01,205140,
2012-04,214336,
2012-07,230351,
2012-10,241492,
2013-01,255227,
2013-04,255123,
2013-07,259393,
2013-10,267616,
2014-01,282684,
2014-04,296528,
2014-07,309757,
