"",BBAI3.Q.DE.N.V.LE.F332A.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:58,
2005-10,1670,
2006-01,1680,
2006-04,1488,
2006-07,1238,
2006-10,1345,
2007-01,2277,
2007-04,1728,
2007-07,1676,
2007-10,1982,
2008-01,1549,
2008-04,1487,
2008-07,1526,
2008-10,1784,
2009-01,1603,
2009-04,1494,
2009-07,1403,
2009-10,1115,
2010-01,1138,
2010-04,991,
2010-07,968,
2010-10,924,
2011-01,890,
2011-04,747,
2011-07,1050,
2011-10,990,
2012-01,1291,
2012-04,1123,
2012-07,1348,
2012-10,1098,
2013-01,384,
2013-04,324,
2013-07,386,
2013-10,243,
2014-01,272,
2014-04,274,
2014-07,266,
