"",BBAI3.Q.DE.N.V.LE.F42A.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F42A.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Loans over 1 year and up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:02,
2005-10,3164,
2006-01,3267,
2006-04,3266,
2006-07,3689,
2006-10,3713,
2007-01,3766,
2007-04,3771,
2007-07,3816,
2007-10,3349,
2008-01,3533,
2008-04,3480,
2008-07,3106,
2008-10,3032,
2009-01,3062,
2009-04,2944,
2009-07,2948,
2009-10,2973,
2010-01,2953,
2010-04,2820,
2010-07,2816,
2010-10,2965,
2011-01,2950,
2011-04,2954,
2011-07,3041,
2011-10,3104,
2012-01,3013,
2012-04,3004,
2012-07,3021,
2012-10,3157,
2013-01,2983,
2013-04,2917,
2013-07,3220,
2013-10,3284,
2014-01,3539,
2014-04,3598,
2014-07,3517,
