"",BBAI3.Q.DE.N.V.LE.N.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:39,
2005-10,3344,
2006-01,3302,
2006-04,3268,
2006-07,3421,
2006-10,3341,
2007-01,3056,
2007-04,3034,
2007-07,3038,
2007-10,2861,
2008-01,2795,
2008-04,2843,
2008-07,2858,
2008-10,2830,
2009-01,2866,
2009-04,2867,
2009-07,2922,
2009-10,2892,
2010-01,2894,
2010-04,2951,
2010-07,2978,
2010-10,2995,
2011-01,3012,
2011-04,3023,
2011-07,3066,
2011-10,3082,
2012-01,3106,
2012-04,3251,
2012-07,3330,
2012-10,3360,
2013-01,3350,
2013-04,3343,
2013-07,3352,
2013-10,3533,
2014-01,3692,
2014-04,3679,
2014-07,3749,
