"",BBDA1.M.DE.N.EX.S.A.IE.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.IE.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Ireland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:10,
1990-07,108277,
1990-08,112038,
1990-09,111749,
1990-10,129702,
1990-11,120109,
1990-12,102386,
1991-01,130117,
1991-02,122232,
1991-03,121765,
1991-04,124404,
1991-05,117385,
1991-06,108099,
1991-07,155485,
1991-08,131383,
1991-09,110057,
1991-10,129328,
1991-11,116141,
1991-12,107074,
1992-01,120349,
1992-02,127239,
1992-03,139119,
1992-04,130733,
1992-05,119365,
1992-06,108694,
1992-07,136317,
1992-08,114795,
1992-09,128353,
1992-10,145771,
1992-11,121118,
1992-12,113289,
1993-01,107417,
1993-02,121301,
1993-03,137804,
1993-04,116693,
1993-05,113785,
1993-06,104983,
1993-07,130405,
1993-08,122300,
1993-09,121592,
1993-10,110731,
1993-11,108399,
1993-12,123625,
1994-01,124453,
1994-02,144428,
1994-03,152186,
1994-04,138964,
1994-05,210323,
1994-06,127085,
1994-07,114645,
1994-08,111790,
1994-09,130795,
1994-10,115796,
1994-11,122691,
1994-12,128216,
1995-01,120431,
1995-02,145250,
1995-03,128414,
1995-04,138289,
1995-05,130227,
1995-06,130844,
1995-07,184815,
1995-08,131047,
1995-09,130037,
1995-10,174090,
1995-11,137339,
1995-12,239513,
1996-01,154331,
1996-02,152068,
1996-03,164872,
1996-04,151239,
1996-05,134289,
1996-06,142326,
1996-07,145488,
1996-08,129956,
1996-09,146476,
1996-10,153313,
1996-11,150063,
1996-12,137913,
1997-01,160501,
1997-02,180820,
1997-03,168441,
1997-04,181925,
1997-05,160569,
1997-06,174981,
1997-07,171261,
1997-08,190448,
1997-09,160894,
1997-10,183772,
1997-11,234471,
1997-12,183600,
1998-01,221188,
1998-02,208690,
1998-03,196759,
1998-04,231780,
1998-05,226323,
1998-06,248748,
1998-07,213800,
1998-08,179855,
1998-09,187509,
1998-10,201416,
1998-11,217528,
1998-12,251930,
1999-01,227200,
1999-02,241583,
1999-03,235385,
1999-04,272543,
1999-05,273902,
1999-06,233661,
1999-07,218310,
1999-08,217541,
1999-09,210684,
1999-10,232895,
1999-11,317663,
1999-12,239672,
2000-01,277762,
2000-02,276104,
2000-03,357052,
2000-04,270781,
2000-05,287178,
2000-06,320856,
2000-07,281467,
2000-08,274400,
2000-09,273679,
2000-10,318105,
2000-11,386233,
2000-12,304246,
2001-01,332390,
2001-02,391776,
2001-03,366534,
2001-04,327948,
2001-05,318955,
2001-06,292833,
2001-07,326760,
2001-08,277184,
2001-09,274411,
2001-10,329212,
2001-11,359753,
2001-12,347737,
2002-01,342116,
2002-02,314654,
2002-03,371734,
2002-04,363091,
2002-05,348768,
2002-06,361982,
2002-07,305935,
2002-08,307992,
2002-09,271221,
2002-10,301379,
2002-11,349441,
2002-12,320319,
2003-01,321900,
2003-02,321693,
2003-03,366671,
2003-04,317753,
2003-05,289337,
2003-06,272738,
2003-07,290592,
2003-08,274381,
2003-09,292434,
2003-10,306298,
2003-11,364022,
2003-12,346346,
2004-01,333185,
2004-02,365703,
2004-03,403671,
2004-04,320817,
2004-05,320742,
2004-06,376382,
2004-07,318637,
2004-08,321507,
2004-09,339537,
2004-10,379767,
2004-11,439377,
2004-12,391795,
2005-01,380074,
2005-02,489625,
2005-03,384261,
2005-04,439336,
2005-05,346697,
2005-06,379021,
2005-07,387628,
2005-08,377851,
2005-09,373955,
2005-10,366195,
2005-11,446909,
2005-12,461839,
2006-01,482142,
2006-02,439946,
2006-03,540370,
2006-04,546736,
2006-05,450835,
2006-06,432092,
2006-07,411090,
2006-08,412388,
2006-09,547273,
2006-10,470885,
2006-11,581903,
2006-12,520769,
2007-01,572758,
2007-02,563451,
2007-03,620407,
2007-04,507095,
2007-05,449821,
2007-06,444507,
2007-07,463879,
2007-08,451474,
2007-09,471320,
2007-10,526223,
2007-11,619476,
2007-12,547716,
2008-01,532650,
2008-02,535965,
2008-03,533970,
2008-04,503476,
2008-05,457014,
2008-06,489408,
2008-07,499767,
2008-08,436549,
2008-09,397171,
2008-10,366039,
2008-11,386383,
2008-12,397788,
2009-01,338075,
2009-02,327691,
2009-03,315259,
2009-04,274002,
2009-05,292185,
2009-06,289484,
2009-07,301636,
2009-08,275300,
2009-09,291230,
2009-10,312152,
2009-11,302138,
2009-12,336407,
2010-01,289503,
2010-02,356121,
2010-03,399772,
2010-04,305848,
2010-05,368925,
2010-06,328630,
2010-07,355316,
2010-08,330810,
2010-09,327112,
2010-10,320553,
2010-11,395661,
2010-12,376266,
2011-01,411580,
2011-02,359042,
2011-03,415055,
2011-04,357978,
2011-05,374692,
2011-06,388766,
2011-07,328920,
2011-08,308524,
2011-09,351742,
2011-10,355045,
2011-11,387211,
2011-12,433708,
2012-01,368294,
2012-02,404569,
2012-03,460038,
2012-04,344989,
2012-05,341504,
2012-06,357772,
2012-07,379070,
2012-08,410377,
2012-09,355602,
2012-10,398261,
2012-11,440026,
2012-12,397953,
2013-01,460595,
2013-02,490716,
2013-03,502307,
2013-04,496032,
2013-05,390853,
2013-06,451469,
2013-07,388702,
2013-08,430656,
2013-09,417200,
2013-10,497265,
2013-11,461906,
2013-12,473451,
2014-01,500173,
2014-02,447416,
2014-03,455566,
2014-04,471121,
2014-05,483058,
2014-06,406489,
2014-07,430140,
2014-08,420526,
2014-09,403558,
2014-10,457245,
2014-11,522002,
2014-12,495042,
