"",BBDA1.M.DE.Y.IM.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W100X2.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Rest of the World excluding European countries / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:32,
1993-01,6.80,
1993-02,7.62,
1993-03,6.86,
1993-04,7.17,
1993-05,6.82,
1993-06,7.00,
1993-07,7.02,
1993-08,7.21,
1993-09,7.24,
1993-10,7.25,
1993-11,7.06,
1993-12,7.08,
1994-01,7.52,
1994-02,7.64,
1994-03,7.73,
1994-04,7.19,
1994-05,7.62,
1994-06,7.37,
1994-07,7.59,
1994-08,7.36,
1994-09,7.38,
1994-10,7.73,
1994-11,7.56,
1994-12,8.21,
1995-01,7.00,
1995-02,8.16,
1995-03,7.65,
1995-04,7.48,
1995-05,7.62,
1995-06,7.99,
1995-07,7.52,
1995-08,7.49,
1995-09,8.05,
1995-10,8.11,
1995-11,7.88,
1995-12,8.21,
1996-01,7.82,
1996-02,8.01,
1996-03,8.32,
1996-04,7.90,
1996-05,8.04,
1996-06,8.24,
1996-07,7.82,
1996-08,7.83,
1996-09,8.26,
1996-10,7.88,
1996-11,8.23,
1996-12,8.18,
1997-01,9.25,
1997-02,8.73,
1997-03,8.88,
1997-04,9.00,
1997-05,9.31,
1997-06,8.76,
1997-07,9.10,
1997-08,9.20,
1997-09,9.67,
1997-10,9.61,
1997-11,9.54,
1997-12,9.45,
1998-01,10.54,
1998-02,10.07,
1998-03,9.91,
1998-04,10.29,
1998-05,9.57,
1998-06,10.25,
1998-07,9.56,
1998-08,9.76,
1998-09,9.55,
1998-10,9.58,
1998-11,9.13,
1998-12,10.25,
1999-01,9.82,
1999-02,10.25,
1999-03,9.73,
1999-04,10.37,
1999-05,10.32,
1999-06,10.08,
1999-07,10.78,
1999-08,10.30,
1999-09,10.76,
1999-10,10.55,
1999-11,10.66,
1999-12,11.21,
2000-01,12.28,
2000-02,11.80,
2000-03,13.05,
2000-04,12.98,
2000-05,13.54,
2000-06,14.05,
2000-07,13.76,
2000-08,13.79,
2000-09,13.94,
2000-10,15.00,
2000-11,14.27,
2000-12,15.24,
2001-01,14.51,
2001-02,14.41,
2001-03,13.34,
2001-04,13.76,
2001-05,12.71,
2001-06,13.73,
2001-07,13.20,
2001-08,12.69,
2001-09,12.43,
2001-10,12.24,
2001-11,12.26,
2001-12,12.72,
2002-01,11.38,
2002-02,12.34,
2002-03,12.97,
2002-04,12.63,
2002-05,11.31,
2002-06,12.69,
2002-07,11.19,
2002-08,12.39,
2002-09,11.89,
2002-10,12.18,
2002-11,12.42,
2002-12,12.21,
2003-01,13.64,
2003-02,12.47,
2003-03,12.80,
2003-04,12.68,
2003-05,11.33,
2003-06,12.73,
2003-07,11.83,
2003-08,12.49,
2003-09,12.03,
2003-10,12.12,
2003-11,12.48,
2003-12,12.80,
2004-01,12.94,
2004-02,13.04,
2004-03,12.44,
2004-04,13.39,
2004-05,13.65,
2004-06,13.84,
2004-07,14.21,
2004-08,13.71,
2004-09,14.46,
2004-10,14.62,
2004-11,14.72,
2004-12,13.99,
2005-01,14.30,
2005-02,13.33,
2005-03,13.93,
2005-04,14.93,
2005-05,14.89,
2005-06,15.03,
2005-07,15.37,
2005-08,15.29,
2005-09,16.12,
2005-10,16.07,
