"",BBDB1.A.DE.N.BN2BCDEF.C.IFRS.B.A.K.E.E001.VGJ.A,BBDB1.A.DE.N.BN2BCDEF.C.IFRS.B.A.K.E.E001.VGJ.A_FLAGS
"","Revenues / Year-on-year change in %, adjusted for changes in the basis of consolidation / Non-financial listed groups / Germany / Groups with a focus on the production sector / Profitability",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-15 13:14:05,
2006,9.84,
2007,3.79,
2008,7.21,
2009,-11.49,
2010,15.73,
2011,10.55,
2012,7.57,
2013,-0.64,
"","General: Non-financial groups listed in Germany, which publish IFRS consolidated financial statements on a quarterly basis and make a noteworthy contribution to value added in Germany. Adjusted for substantial changes in the basis of consolidation of large groups (see explanatory notes in the Statistical Supplement Seasonally adjusted business statistics).Including groups in agriculture and forestry.",
