"",BBDE1.M.DE.W.AEA1.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEA1.A2P320000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Capital goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:02,
1991-01,59.1,
1991-02,55.0,
1991-03,64.2,
1991-04,55.3,
1991-05,55.2,
1991-06,58.7,
1991-07,56.1,
1991-08,54.8,
1991-09,57.9,
1991-10,58.1,
1991-11,59.7,
1991-12,59.2,
1992-01,57.7,
1992-02,59.2,
1992-03,64.9,
1992-04,57.1,
1992-05,54.5,
1992-06,55.2,
1992-07,53.1,
1992-08,47.6,
1992-09,56.9,
1992-10,50.8,
1992-11,51.7,
1992-12,52.8,
1993-01,50.0,
1993-02,48.2,
1993-03,52.1,
1993-04,47.0,
1993-05,48.9,
1993-06,50.0,
1993-07,49.0,
1993-08,43.1,
1993-09,54.6,
1993-10,52.2,
1993-11,51.8,
1993-12,53.4,
1994-01,47.4,
1994-02,50.3,
1994-03,59.1,
1994-04,52.9,
1994-05,50.8,
1994-06,55.9,
1994-07,53.9,
1994-08,46.3,
1994-09,56.5,
1994-10,56.5,
1994-11,57.8,
1994-12,57.5,
1995-01,52.9,
1995-02,54.5,
1995-03,61.3,
1995-04,53.7,
1995-05,56.1,
1995-06,55.3,
1995-07,57.7,
1995-08,48.1,
1995-09,58.3,
1995-10,54.1,
1995-11,58.5,
1995-12,56.2,
1996-01,53.6,
1996-02,54.1,
1996-03,62.9,
1996-04,57.0,
1996-05,55.9,
1996-06,61.0,
1996-07,58.2,
1996-08,51.3,
1996-09,58.6,
1996-10,59.9,
1996-11,59.5,
1996-12,56.6,
1997-01,57.9,
1997-02,57.0,
1997-03,67.1,
1997-04,62.6,
1997-05,60.0,
1997-06,63.0,
1997-07,61.8,
1997-08,55.9,
1997-09,66.7,
1997-10,64.5,
1997-11,64.2,
1997-12,63.4,
1998-01,65.1,
1998-02,65.1,
1998-03,74.5,
1998-04,67.9,
1998-05,66.0,
1998-06,68.3,
1998-07,68.2,
1998-08,57.9,
1998-09,70.6,
1998-10,66.8,
1998-11,65.5,
1998-12,65.5,
1999-01,63.5,
1999-02,65.0,
1999-03,71.5,
1999-04,66.7,
1999-05,65.0,
1999-06,71.2,
1999-07,68.8,
1999-08,65.8,
1999-09,74.0,
1999-10,73.1,
1999-11,74.1,
1999-12,70.1,
2000-01,69.6,
2000-02,74.9,
2000-03,84.4,
2000-04,79.6,
2000-05,77.6,
2000-06,82.9,
2000-07,81.5,
2000-08,72.1,
2000-09,82.4,
2000-10,83.7,
2000-11,85.3,
2000-12,83.3,
2001-01,79.4,
2001-02,82.1,
2001-03,89.3,
2001-04,79.1,
2001-05,79.8,
2001-06,83.0,
2001-07,78.9,
2001-08,71.8,
2001-09,79.3,
2001-10,76.8,
2001-11,78.6,
2001-12,79.9,
2002-01,77.1,
2002-02,76.4,
2002-03,86.8,
2002-04,79.1,
2002-05,82.4,
2002-06,82.9,
2002-07,80.2,
2002-08,75.0,
2002-09,81.8,
2002-10,81.5,
2002-11,83.3,
2002-12,76.3,
2003-01,80.3,
2003-02,81.1,
2003-03,85.7,
2003-04,79.5,
2003-05,76.7,
2003-06,82.7,
2003-07,79.2,
2003-08,71.7,
2003-09,84.0,
2003-10,83.4,
2003-11,84.4,
2003-12,83.4,
2004-01,81.2,
2004-02,82.4,
2004-03,92.6,
2004-04,86.2,
2004-05,86.2,
2004-06,87.8,
2004-07,86.6,
2004-08,75.7,
2004-09,89.2,
2004-10,88.3,
2004-11,86.0,
2004-12,95.9,
2005-01,86.4,
2005-02,86.2,
2005-03,98.2,
2005-04,87.2,
2005-05,87.5,
2005-06,96.5,
2005-07,93.4,
2005-08,82.1,
2005-09,98.4,
2005-10,97.8,
2005-11,101.6,
2005-12,98.3,
2006-01,97.5,
2006-02,98.3,
2006-03,107.2,
2006-04,98.9,
2006-05,99.4,
2006-06,101.3,
2006-07,101.9,
2006-08,96.3,
2006-09,106.7,
2006-10,103.0,
2006-11,105.1,
2006-12,106.4,
2007-01,105.2,
2007-02,112.2,
2007-03,120.7,
2007-04,108.7,
2007-05,113.2,
2007-06,125.1,
2007-07,111.8,
2007-08,101.2,
2007-09,113.6,
2007-10,119.8,
2007-11,123.5,
2007-12,121.7,
2008-01,114.9,
2008-02,118.5,
2008-03,125.7,
2008-04,115.7,
2008-05,110.7,
2008-06,110.8,
2008-07,105.2,
2008-08,98.5,
2008-09,101.5,
2008-10,91.8,
2008-11,87.8,
