"",BBDE1.M.DE.Y.AEB1.A2R130050.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2R130050.F.C.I10.A_FLAGS
"",Orders received from the domestic market / At constant prices / Germany / 13+14 Manufacture of textiles and wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:12,
1991-01,284.6,
1991-02,281.9,
1991-03,300.1,
1991-04,291.5,
1991-05,281.2,
1991-06,304.1,
1991-07,265.6,
1991-08,266.2,
1991-09,271.1,
1991-10,274.5,
1991-11,286.9,
1991-12,276.8,
1992-01,268.4,
1992-02,271.5,
1992-03,256.9,
1992-04,252.8,
1992-05,251.7,
1992-06,252.4,
1992-07,238.0,
1992-08,246.3,
1992-09,252.9,
1992-10,247.3,
1992-11,246.2,
1992-12,242.0,
1993-01,248.0,
1993-02,235.0,
1993-03,242.8,
1993-04,235.9,
1993-05,238.7,
1993-06,235.0,
1993-07,237.9,
1993-08,245.4,
1993-09,241.3,
1993-10,233.5,
1993-11,232.7,
1993-12,228.6,
1994-01,232.6,
1994-02,235.3,
1994-03,224.0,
1994-04,229.3,
1994-05,217.8,
1994-06,208.5,
1994-07,216.5,
1994-08,221.6,
1994-09,215.7,
1994-10,217.0,
1994-11,213.1,
1994-12,212.5,
1995-01,217.4,
1995-02,214.2,
1995-03,209.0,
1995-04,212.0,
1995-05,215.4,
1995-06,207.8,
1995-07,208.0,
1995-08,204.4,
1995-09,206.6,
1995-10,204.9,
1995-11,196.9,
1995-12,193.0,
1996-01,203.6,
1996-02,193.4,
1996-03,203.8,
1996-04,208.3,
1996-05,201.7,
1996-06,200.8,
1996-07,190.3,
1996-08,199.2,
1996-09,200.2,
1996-10,202.2,
1996-11,206.6,
1996-12,198.5,
1997-01,196.1,
1997-02,200.4,
1997-03,204.9,
1997-04,195.3,
1997-05,185.9,
1997-06,194.9,
1997-07,194.9,
1997-08,196.2,
1997-09,189.1,
1997-10,189.7,
1997-11,186.7,
1997-12,187.8,
1998-01,186.3,
1998-02,201.2,
1998-03,191.9,
1998-04,197.6,
1998-05,191.3,
1998-06,195.8,
1998-07,199.8,
1998-08,191.0,
1998-09,190.3,
1998-10,183.9,
1998-11,185.0,
1998-12,184.1,
1999-01,185.2,
1999-02,182.2,
1999-03,182.0,
1999-04,182.3,
1999-05,175.3,
1999-06,176.9,
1999-07,181.2,
1999-08,177.6,
1999-09,177.7,
1999-10,181.5,
1999-11,180.2,
1999-12,180.0,
2000-01,168.5,
2000-02,179.4,
2000-03,174.5,
2000-04,172.4,
2000-05,184.6,
2000-06,178.0,
2000-07,173.3,
2000-08,180.3,
2000-09,181.4,
2000-10,173.7,
2000-11,173.2,
2000-12,176.3,
2001-01,178.9,
2001-02,176.2,
2001-03,173.4,
2001-04,162.7,
2001-05,170.9,
2001-06,176.6,
2001-07,167.1,
2001-08,169.7,
2001-09,163.3,
2001-10,157.9,
2001-11,162.6,
2001-12,165.3,
2002-01,155.7,
2002-02,154.7,
2002-03,157.1,
2002-04,152.0,
2002-05,148.3,
2002-06,148.8,
2002-07,143.2,
2002-08,145.6,
2002-09,146.9,
2002-10,154.0,
2002-11,143.9,
2002-12,146.1,
2003-01,152.3,
2003-02,147.4,
2003-03,144.7,
2003-04,145.9,
2003-05,143.9,
2003-06,143.5,
2003-07,144.1,
2003-08,141.4,
2003-09,139.6,
2003-10,142.4,
2003-11,139.8,
2003-12,137.2,
2004-01,138.6,
2004-02,138.7,
2004-03,140.9,
2004-04,139.2,
2004-05,137.1,
2004-06,138.6,
2004-07,140.5,
2004-08,135.5,
2004-09,133.4,
2004-10,130.0,
2004-11,129.4,
2004-12,129.8,
2005-01,138.9,
2005-02,134.3,
2005-03,135.5,
2005-04,136.5,
2005-05,135.5,
2005-06,131.9,
2005-07,135.5,
2005-08,134.6,
2005-09,124.5,
2005-10,133.1,
2005-11,131.6,
2005-12,132.4,
2006-01,127.3,
2006-02,134.3,
2006-03,130.7,
2006-04,132.1,
2006-05,139.0,
2006-06,127.8,
2006-07,133.9,
2006-08,134.4,
2006-09,128.8,
2006-10,131.9,
2006-11,131.6,
2006-12,132.5,
2007-01,132.0,
2007-02,131.8,
2007-03,130.0,
2007-04,131.8,
2007-05,133.5,
2007-06,133.3,
2007-07,132.1,
2007-08,129.7,
2007-09,127.9,
2007-10,131.5,
2007-11,130.4,
2007-12,127.8,
2008-01,126.7,
2008-02,126.4,
2008-03,118.8,
2008-04,119.8,
2008-05,117.0,
2008-06,121.5,
2008-07,119.0,
2008-08,120.0,
2008-09,113.5,
2008-10,112.9,
2008-11,112.3,
2008-12,114.3,
2009-01,96.6,
2009-02,92.6,
2009-03,91.0,
2009-04,91.1,
2009-05,94.0,
2009-06,97.5,
2009-07,94.5,
2009-08,95.7,
2009-09,96.6,
2009-10,94.5,
2009-11,91.8,
2009-12,97.1,
2010-01,96.5,
2010-02,95.2,
2010-03,100.2,
2010-04,97.3,
2010-05,97.5,
2010-06,99.0,
2010-07,100.4,
2010-08,98.3,
2010-09,100.1,
2010-10,103.1,
2010-11,105.9,
2010-12,103.7,
2011-01,102.1,
2011-02,101.8,
2011-03,99.3,
2011-04,102.2,
2011-05,103.4,
2011-06,96.1,
2011-07,103.1,
2011-08,98.4,
2011-09,94.7,
2011-10,98.8,
2011-11,93.8,
2011-12,89.8,
2012-01,91.2,
2012-02,92.0,
2012-03,91.1,
2012-04,90.7,
2012-05,97.5,
2012-06,92.5,
2012-07,93.1,
2012-08,92.7,
2012-09,89.7,
2012-10,96.1,
2012-11,86.7,
2012-12,88.1,
2013-01,90.3,
2013-02,88.9,
2013-03,88.0,
2013-04,88.0,
2013-05,89.1,
2013-06,90.0,
2013-07,94.0,
2013-08,90.4,
2013-09,89.4,
2013-10,90.2,
2013-11,91.8,
2013-12,89.3,
2014-01,95.6,
2014-02,93.8,
2014-03,91.7,
2014-04,94.8,
2014-05,92.8,
2014-06,93.2,
2014-07,91.3,
2014-08,93.4,
2014-09,87.6,
2014-10,92.3,
2014-11,89.3,
2014-12,92.6,Provisional value
