"",BBDE1.M.DE.Y.GUD5.A2P340000.F.V.I10.A,BBDE1.M.DE.Y.GUD5.A2P340000.F.V.I10.A_FLAGS
"","Turnover from abroad, Non-euro-area countries / At current prices / Germany / Non-durable goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:12:00,
2003-01,71.3,
2003-02,73.8,
2003-03,75.4,
2003-04,78.0,
2003-05,76.2,
2003-06,74.9,
2003-07,75.4,
2003-08,76.6,
2003-09,75.9,
2003-10,79.5,
2003-11,75.8,
2003-12,83.2,
2004-01,78.0,
2004-02,79.3,
2004-03,78.5,
2004-04,83.2,
2004-05,76.1,
2004-06,77.3,
2004-07,80.8,
2004-08,77.3,
2004-09,77.7,
2004-10,78.2,
2004-11,78.8,
2004-12,77.1,
2005-01,82.9,
2005-02,83.0,
2005-03,81.4,
2005-04,80.7,
2005-05,84.4,
2005-06,86.9,
2005-07,88.5,
2005-08,88.7,
2005-09,89.5,
2005-10,87.2,
2005-11,89.0,
2005-12,88.2,
2006-01,93.3,
2006-02,92.9,
2006-03,90.9,
2006-04,91.7,
2006-05,91.5,
2006-06,92.6,
2006-07,93.9,
2006-08,94.7,
2006-09,96.1,
2006-10,94.3,
2006-11,100.2,
2006-12,97.1,
2007-01,98.6,
2007-02,98.5,
2007-03,101.4,
2007-04,97.9,
2007-05,105.8,
2007-06,103.0,
2007-07,102.8,
2007-08,108.7,
2007-09,107.6,
2007-10,109.8,
2007-11,106.6,
2007-12,105.8,
2008-01,108.2,
2008-02,111.3,
2008-03,110.7,
2008-04,107.4,
2008-05,106.6,
2008-06,108.5,
2008-07,109.1,
2008-08,102.9,
2008-09,106.0,
2008-10,109.7,
2008-11,96.6,
2008-12,99.9,
2009-01,89.5,
2009-02,92.8,
2009-03,87.9,
2009-04,89.6,
2009-05,88.6,
2009-06,91.4,
2009-07,89.7,
2009-08,92.0,
2009-09,91.4,
2009-10,91.4,
2009-11,97.4,
2009-12,92.6,
2010-01,93.8,
2010-02,92.8,
2010-03,99.0,
2010-04,96.2,
2010-05,103.2,
2010-06,101.4,
2010-07,97.3,
2010-08,101.1,
2010-09,102.0,
2010-10,102.2,
2010-11,100.6,
2010-12,105.1,
2011-01,103.8,
2011-02,103.0,
2011-03,107.1,
2011-04,109.8,
2011-05,107.6,
2011-06,107.0,
2011-07,109.7,
2011-08,107.3,
2011-09,109.7,
2011-10,106.9,
2011-11,109.8,
2011-12,110.9,
2012-01,111.1,
2012-02,112.0,
2012-03,119.7,
2012-04,111.7,
2012-05,111.9,
2012-06,120.0,
2012-07,120.1,
2012-08,118.4,
2012-09,119.2,
2012-10,121.1,
2012-11,121.0,
2012-12,123.1,
2013-01,115.9,
2013-02,118.8,
2013-03,119.7,
2013-04,121.7,
2013-05,121.8,
2013-06,113.3,
2013-07,121.0,
2013-08,119.2,
2013-09,130.6,
2013-10,126.3,
2013-11,128.4,
2013-12,123.9,
2014-01,126.2,
2014-02,124.4,
2014-03,122.8,
2014-04,131.1,
2014-05,131.0,
2014-06,129.0,
2014-07,129.5,
2014-08,133.5,
2014-09,128.0,
2014-10,129.1,
2014-11,126.2,
2014-12,130.9,Provisional value
