"",BBDE1.Q.DE.Y.LCB1.P2XO00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.P2XO00100.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Section O-S - Non-market service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:16,
1996-01,82.957,
1996-04,82.780,
1996-07,83.023,
1996-10,84.528,
1997-01,85.051,
1997-04,84.792,
1997-07,83.944,
1997-10,85.878,
1998-01,85.941,
1998-04,86.577,
1998-07,86.720,
1998-10,86.774,
1999-01,86.930,
1999-04,88.888,
1999-07,89.327,
1999-10,89.084,
2000-01,89.050,
2000-04,89.657,
2000-07,92.005,
2000-10,91.397,
2001-01,91.874,
2001-04,91.773,
2001-07,92.566,
2001-10,94.025,
2002-01,94.016,
2002-04,94.174,
2002-07,94.075,
2002-10,95.604,
2003-01,95.480,
2003-04,95.116,
2003-07,96.774,
2003-10,96.282,
2004-01,96.520,
2004-04,96.675,
2004-07,97.138,
2004-10,96.652,
2005-01,96.564,
2005-04,96.054,
2005-07,96.143,
2005-10,95.999,
2006-01,96.000,
2006-04,96.506,
2006-07,96.518,
2006-10,97.153,
2007-01,96.434,
2007-04,96.998,
2007-07,97.870,
2007-10,98.456,
2008-01,100.394,
2008-04,99.285,
2008-07,100.000,
2008-10,100.320,
2009-01,104.260,
2009-04,104.522,
2009-07,104.413,
2009-10,102.969,
2010-01,105.042,
2010-04,104.313,
2010-07,104.359,
2010-10,103.648,
2011-01,105.548,
2011-04,106.491,
2011-07,107.060,
2011-10,106.682,
2012-01,108.105,
2012-04,109.460,
2012-07,110.509,
2012-10,111.879,
2013-01,111.778,
2013-04,113.372,
2013-07,112.682,
2013-10,113.687,
2014-01,113.732,
2014-04,114.207,
2014-07,115.247,
