"",BBEX3.A.BMD.USD.CA.AC.A04,BBEX3.A.BMD.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Bermuda / USD 1 = BMD ... (middle),
unit,BMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:02,
1975,1.00015,
1976,1.00015,
1977,1.00015,
1978,1.00015,
1979,1.00015,
1980,1.00015,
1981,1.00015,
1982,1.00015,
1983,1.00015,
1984,1.00015,
1985,1.00015,
1986,1.00015,
1987,1.00015,
1988,1.00015,
1989,1.00015,
1990,1.00015,
1991,1.00015,
1992,1.00015,
1993,1.00015,
1994,1.00015,
1995,1.00015,
1996,1.00015,
1997,1.00015,
1998,1.00015,
1999,1.00015,
2000,1.00015,
2001,1.00015,
2002,1.00015,
2003,1.00015,
2004,1.00015,
2005,1.00015,
2006,1.00015,
2007,1.00015,
2008,1.00015,
2009,1.00015,
2010,1.00015,
2011,1.00015,
2012,1.00015,
2013,1.00015,
2014,1.00015,
"",General: Fixed exchange rate to the US dollar.,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:Since October 1988: Bermuda Commercial Bank Limited, Hamilton.Until September 1988: Bermuda Monetary Authority, Hamilton.",
