"",BBEX3.A.JPY.EUR.CA.AA.A04,BBEX3.A.JPY.EUR.CA.AA.A04_FLAGS
"",Exchange rates for the euro in Japan / EUR 1 = JPY ... (buying),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:38,
1999,119.43,
2000,98.25,
2001,107.60,
2002,116.54,
2003,129.82,
2004,133.42,
2005,135.63,
2006,144.98,
2007,160.26,
2008,150.81,
2009,128.73,
2010,114.72,
2011,109.63,
2012,101.96,
2013,129.04,
2014,138.85,
"",Source: Since 2006: Bank of Tokyo-Mitsubishi UFJ 1999 - 2005: Bank of Tokyo-Mitsubishi,
"","Methodology: Calculated on the basis of mid-month and month-end rates, from 2012 on the basis of month-end rates.",
