"",BBEX3.A.LKR.USD.CA.AB.A04,BBEX3.A.LKR.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Sri Lanka  / USD 1 = LKR ... (selling),
unit,LKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:58,
1990,40.0983,
1991,41.4452,
1992,43.8132,
1993,48.1350,
1994,49.2196,
1995,51.0804,
1996,55.4388,
1997,59.1379,
1998,65.0933,
1999,71.0175,
2000,77.2275,
2001,89.9108,
2002,95.8500,
2003,96.6525,
2004,101.4942,
2005,100.9700,
2006,104.6504,
2007,111.2467,
2008,109.0767,
2009,115.9271,
2010,113.8404,
2011,111.4663,
2012,129.6017,
2013,130.8317,
2014,131.9513,
"","Source: Since 2005 Central Bank of Sri Lanka, Colombo  July 1998 - 2004 Commercial Bank of Ceylon Ltd., Colombo  1990 - June 1998 Bank of Ceylon, Colombo",
"",Methodology: Calculated on the basis of mid-month and month-end rates.,
