"",BBEX3.A.MVR.EUR.CA.AC.A04,BBEX3.A.MVR.EUR.CA.AC.A04_FLAGS
"",Exchange rates and comparable rates for the euro in the Maldives * / EUR 1 = MVR ... (middle),
unit,MVR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:21,
1999,12.26829,
2000,10.60721,
2001,10.78802,
2002,11.80186,
2003,14.24013,
2004,15.66450,
2005,15.66556,
2006,15.94657,
2007,17.37676,
2008,18.54483,
2009,17.87275,
2010,16.90465,
2011,20.59101,comment
2012,19.90514,
2013,20.48379,
2014,20.33277,
"","General: * From January 2009, we do not have any data on euro exchange rates.",
"","Source: Since December 2009: Maldives Monetary Authority, Male November 2005 - November 2009: Bank of Maldives Plc, Male 1999 - October 2005: Maldives Monetary Authority, Male",
"","Methodology: * Up until 2008, calculated on the basis of the buying and selling rates for the euro. From 2009 to March 2011, the reported comparable rates were calculated on the basis of the buying and selling rates, from April 2011 on the basis of the middle rates for the US dollar in the Maldives in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar; annual averages calculated on the basis of month-end exchange rates / month-end comparable rates.",
"","Comment on 2011: On 11 April 2011, the rufiyaa ceased to be pegged to the US dollar.",
