"",BBEX3.A.NGN.EUR.CA.AC.A04,BBEX3.A.NGN.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in Nigeria / EUR 1 = NGN ... (middle),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:33,
1999,98.09270,
2000,94.20124,
2001,99.80674,
2002,114.66802,
2003,146.82323,
2004,165.29601,
2005,162.71840,
2006,159.51439,
2007,170.06534,
2008,172.67997,
2009,205.14211,
2010,196.73194,
2011,211.52535,
2012,200.17573,
2013,206.43647,
2014,207.70969,
"","Source: Central Bank of Nigeria, Abuja",
"",Methodology: Calculated on the basis of mid-month and month-end buying and selling rates.,
