"",BBEX3.A.NOK.EUR.CA.AA.A04,BBEX3.A.NOK.EUR.CA.AA.A04_FLAGS
"",Exchange rates for the euro in Norway / EUR 1 = NOK ... (buying),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:35,
1999,8.2902,
2000,8.1003,
2001,8.0260,
2002,7.4789,
2003,8.0124,
2004,8.3518,
2005,8.0002,
2006,8.0411,
2007,7.9973,
2008,8.2343,
2009,8.7199,
2010,7.9745,
2011,7.7927,
2012,7.4584,
2013,7.8400,
2014,8.3609,
"","Source: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1999 - November 2003 Den norske Bank, Oslo",
"","Methodology: Since 2012, calculated on the basis of month-end rates, previously on the basis of mid-month and month-end rates.",
