"",BBEX3.A.SCR.USD.CA.AB.A04,BBEX3.A.SCR.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in the Seychelles / USD 1 = SCR ... (selling),
unit,SCR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:15,
1981,6.3704,comment
1982,6.6361,
1983,6.8686,
1984,7.1642,
1985,7.1674,
1986,6.2156,
1987,5.6420,
1988,5.4646,
1989,5.6964,
1990,5.3965,
1991,5.3637,
1992,5.2065,
1993,5.2425,
1994,5.0988,
1995,4.8166,
1996,5.0342,
1997,5.0910,
1998,5.3411,
1999,5.4105,
2000,5.8221,
2001,5.9052,
2002,5.5336,
2003,5.4880,
2004,5.5688,
2005,5.5688,
2006,5.6004,
2007,6.8559,
2008,9.7400,comment
2009,13.8933,
2010,12.3411,
2011,12.6076,
2012,13.8702,
2013,12.2008,
2014,13.0203,
"","Source: Central Bank of Seychelles, Victoria",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1981: On 16 March 1981, the Seychelles rupee was revalued by 15% against the special drawing right.",
"","Comment on 2008: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
