"",BBEX3.A.XPF.EUR.CM.AC.A04,BBEX3.A.XPF.EUR.CM.AC.A04_FLAGS
"",Exchange rates for the euro in New Caledonia / EUR 1 = XPF ...,
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:31,
1999,8.38,
2000,8.38,
2001,8.38,
2002,8.38,
2003,8.38,
2004,8.38,
2005,8.38,
2006,8.38,
2007,8.38,
2008,8.38,
2009,8.38,
2010,8.38,
2011,8.38,
2012,8.38,
2013,8.38,
2014,8.38,
"","General: CFP was originally the abbreviation for ""Colonies Françaises du Pacifique"" and is still used as a currency symbol (in connection with the franc).  Fixed exchange rate to the euro.",
"","Source: L'Institut d'Emission d'Outre-Mer (IEOM), Paris",
