"",BBEX3.M.BIF.EUR.CA.AA.A01,BBEX3.M.BIF.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Burundi / EUR 1 = BIF ... (buying),
unit,BIF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:05,
1999-01,581.3420,
1999-02,575.6427,
1999-03,569.7329,
1999-04,567.3911,
1999-05,565.1210,
1999-06,562.2981,
1999-07,567.6755,
1999-08,634.7578,
1999-09,642.6599,
1999-10,639.3958,
1999-11,628.6526,
1999-12,628.8484,
2000-01,624.5077,
2000-02,623.2497,
2000-03,617.5561,
2000-04,607.7328,
2000-05,612.8872,
2000-06,617.5341,
2000-07,734.7504,
2000-08,687.6752,
2000-09,701.0266,
2000-10,669.3616,
2000-11,708.8822,
2000-12,719.7503,
2001-01,710.7387,
2001-02,704.9999,
2001-03,689.8516,
2001-04,712.2411,
2001-05,760.7826,
2001-06,710.0848,
2001-07,734.5238,
2001-08,766.6297,
2001-09,776.4517,
2001-10,772.1675,
2001-11,756.6916,
2001-12,753.4690,
2002-01,743.3980,
2002-02,743.3393,
2002-03,656.3816,
2002-04,757.0073,
2002-05,757.9991,
2002-06,757.9991,
2002-07,862.9361,
2002-08,1036.2338,
2002-09,1045.1063,
2002-10,1047.2759,
2002-11,1048.5461,
2002-12,1095.5943,
2003-01,1150.0181,
2003-02,1152.6561,
2003-03,1152.8209,
2003-04,1177.6168,
2003-05,1258.1292,
2003-06,1230.4032,
2003-07,1226.2612,
2003-08,1224.2647,
2003-09,1248.0098,
2003-10,1251.9572,
2003-11,1279.9139,
2003-12,1364.4820,
2004-01,1355.7106,
2004-02,1380.1595,
2004-03,1332.8007,
2004-04,1303.5606,
2004-05,1322.7636,
2004-06,1322.6983,
2004-07,1321.1831,
2004-08,1321.1400,
2004-09,1348.1201,
2004-10,1394.6213,
2004-11,1429.3569,
2004-12,1500.3897,
2005-01,1454.4030,
2005-02,1502.4577,
2005-03,1467.6442,
2005-04,1429.4842,
2005-05,1348.7133,
2005-06,1307.5903,
2005-07,1288.4702,
2005-08,1276.2599,
2005-09,1234.7458,
2005-10,1210.8495,
2005-11,1162.1847,
2005-12,1171.0397,
2006-01,1197.9035,
2006-02,1181.0044,
2006-03,1221.5781,
2006-04,1263.3740,
2006-05,1310.3895,
2006-06,1291.2053,
2006-07,1294.8343,
2006-08,1329.2168,
2006-09,1326.6217,
2006-10,1329.7011,
2006-11,1367.2822,
2006-12,1304.7566,
2007-01,1330.9106,
2007-02,1372.7349,
2007-03,1373.4894,
2007-04,1410.3057,
2007-05,1410.8090,
2007-06,1448.2521,
2007-07,1483.2852,
2007-08,1492.0064,
2007-09,1548.5042,
2007-10,1618.5237,
2007-11,1666.6420,
2007-12,1631.0079,
2008-01,1699.7595,
2008-02,1743.3266,
2008-03,1840.2427,
2008-04,1805.3255,
2008-05,1810.8127,
2008-06,1871.3194,
2008-07,1838.8940,
2008-08,1723.5912,
2008-09,1705.7430,
2008-10,1580.4874,
2008-11,1582.9349,
2008-12,1710.5486,comment
2009-01,1575.5538,
2009-02,1554.3560,
2009-03,1621.1441,
2009-04,1616.7246,
2009-05,1684.3646,
2009-06,1722.3008,
2009-07,1724.5428,
2009-08,1744.1835,
2009-09,1785.2058,
2009-10,1812.6742,
2009-11,1836.5990,
2009-12,1753.7775,
2010-01,1699.4388,
2010-02,1658.3195,
2010-03,1645.2027,
2010-04,1615.4401,
2010-05,1503.6034,
2010-06,1492.3716,
2010-07,1595.9160,
2010-08,1551.6528,comment
2010-09,1650.1207,
2010-10,1687.6503,
2010-11,1594.4536,
2010-12,1618.9557,
2011-01,1659.2117,
2011-02,1679.4213,
2011-03,1729.0511,
2011-04,1817.1490,
2011-05,1761.1150,
2011-06,1779.9638,
2011-07,1765.7815,
2011-08,1794.7298,
2011-09,1697.2188,
2011-10,1786.8587,
2011-11,1753.9792,
2011-12,1739.2882,
2012-01,1805.0577,
2012-02,1873.2696,
2012-03,1846.2014,
2012-04,1833.1023,
2012-05,1727.1495,
2012-06,1789.0327,
2012-07,1779.0130,
2012-08,1818.5897,
2012-09,1886.2749,
2012-10,1902.7171,
2012-11,1940.6859,
2012-12,2015.5312,
2013-01,2124.7571,
2013-02,2230.8548,
2013-03,1995.1338,
2013-04,2014.3384,
2013-05,1987.9481,
2013-06,1987.2686,
2013-07,2017.7289,
2013-08,2017.8478,
2013-09,2057.0325,
2013-10,2089.5073,
2013-11,2077.0361,
2013-12,2106.6667,
2014-01,2069.7437,
2014-02,2094.3121,
2014-03,2102.6087,
2014-04,2112.1120,
2014-05,2081.8013,
2014-06,2088.7865,
2014-07,2052.3448,
2014-08,2019.0412,
2014-09,1946.5546,
2014-10,1931.0592,
2014-11,1910.1703,
2014-12,1869.3162,
2015-01,1743.3684,
"","Source: Since September 2010: Banque de Credit de Bujumbura, Bujumbura. 1999 - August 2010: Banque de la Republique du Burundi, Bujumbura.",
"",Comment on 2008-12: Exchange rate as of 23 December 2008.,
"",Comment on 2010-08: Exchange rate as of 26 August 2010.,
