"",BBEX3.M.LVL.EUR.BB.AC.A02,BBEX3.M.LVL.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = LVL ... / Latvia / up to December 2013,
unit,LVL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:39,
1999-01,0.6619,
1999-02,0.6468,
1999-03,0.6388,
1999-04,0.6320,
1999-05,0.6295,
1999-06,0.6206,
1999-07,0.6231,
1999-08,0.6271,
1999-09,0.6154,
1999-10,0.6190,
1999-11,0.6057,
1999-12,0.5922,
2000-01,0.5943,
2000-02,0.5856,
2000-03,0.5728,
2000-04,0.5620,
2000-05,0.5497,
2000-06,0.5682,
2000-07,0.5651,
2000-08,0.5493,
2000-09,0.5368,
2000-10,0.5324,
2000-11,0.5376,
2000-12,0.5597,
2001-01,0.5791,
2001-02,0.5709,
2001-03,0.5678,
2001-04,0.5615,
2001-05,0.5515,
2001-06,0.5415,
2001-07,0.5462,
2001-08,0.5625,
2001-09,0.5646,
2001-10,0.5616,
2001-11,0.5549,
2001-12,0.5592,
2002-01,0.5619,
2002-02,0.5580,
2002-03,0.5566,
2002-04,0.5600,
2002-05,0.5716,
2002-06,0.5842,
2002-07,0.5952,
2002-08,0.5898,
2002-09,0.5912,
2002-10,0.5953,
2002-11,0.6012,
2002-12,0.6049,
2003-01,0.6195,
2003-02,0.6231,
2003-03,0.6253,
2003-04,0.6286,
2003-05,0.6513,
2003-06,0.6549,
2003-07,0.6473,
2003-08,0.6397,
2003-09,0.6383,
2003-10,0.6483,
2003-11,0.6471,
2003-12,0.6631,
2004-01,0.6707,
2004-02,0.6698,
2004-03,0.6596,
2004-04,0.6502,
2004-05,0.6557,
2004-06,0.6565,
2004-07,0.6596,
2004-08,0.6586,
2004-09,0.6610,
2004-10,0.6690,
2004-11,0.6803,
2004-12,0.6900,
2005-01,0.6963,
2005-02,0.6961,
2005-03,0.6961,
2005-04,0.6961,
2005-05,0.6960,
2005-06,0.6960,
2005-07,0.6961,
2005-08,0.6960,
2005-09,0.6961,
2005-10,0.6965,
2005-11,0.6963,
2005-12,0.6967,
2006-01,0.6960,
2006-02,0.6961,
2006-03,0.6961,
2006-04,0.6960,
2006-05,0.6960,
2006-06,0.6960,
2006-07,0.6960,
2006-08,0.6960,
2006-09,0.6961,
2006-10,0.6961,
2006-11,0.6970,
2006-12,0.6976,
2007-01,0.6975,
2007-02,0.7003,
2007-03,0.7088,
2007-04,0.7036,
2007-05,0.6965,
2007-06,0.6963,
2007-07,0.6969,
2007-08,0.6978,
2007-09,0.7021,
2007-10,0.7030,
2007-11,0.7005,
2007-12,0.6975,
2008-01,0.6982,
2008-02,0.6967,
2008-03,0.6970,
2008-04,0.6974,
2008-05,0.6987,
2008-06,0.7032,
2008-07,0.7035,
2008-08,0.7039,
2008-09,0.7060,
2008-10,0.7093,
2008-11,0.7092,
2008-12,0.7084,
2009-01,0.7043,
2009-02,0.7056,
2009-03,0.7083,
2009-04,0.7093,
2009-05,0.7092,
2009-06,0.7015,
2009-07,0.7006,
2009-08,0.7013,
2009-09,0.7039,
2009-10,0.7088,
2009-11,0.7088,
2009-12,0.7077,
2010-01,0.7088,
2010-02,0.7090,
2010-03,0.7083,
2010-04,0.7076,
2010-05,0.7075,
2010-06,0.7082,
2010-07,0.7090,
2010-08,0.7085,
2010-09,0.7091,
2010-10,0.7094,
2010-11,0.7094,
2010-12,0.7096,
2011-01,0.7034,
2011-02,0.7037,
2011-03,0.7072,
2011-04,0.7092,
2011-05,0.7093,
2011-06,0.7091,
2011-07,0.7092,
2011-08,0.7093,
2011-09,0.7093,
2011-10,0.7061,
2011-11,0.7015,
2011-12,0.6975,
2012-01,0.6990,
2012-02,0.6988,
2012-03,0.6977,
2012-04,0.6993,
2012-05,0.6981,
2012-06,0.6969,
2012-07,0.6963,
2012-08,0.6963,
2012-09,0.6962,
2012-10,0.6962,
2012-11,0.6962,
2012-12,0.6965,
2013-01,0.6978,
2013-02,0.6999,
2013-03,0.7013,
2013-04,0.7006,
2013-05,0.7002,
2013-06,0.7019,
2013-07,0.7024,
2013-08,0.7027,
2013-09,0.7026,
2013-10,0.7028,
2013-11,0.7028,
2013-12,0.7027,
"","General: Up to September 2000, ECB indicative rates. From October 2000 euro foreign exchange reference rates of the ECB, which were calculated on the basis of the concertation between central banks at 14.15. Latvia joined the euro area on 1 January 2014; irrevocable euro conversion rate: EUR 1 = LVL 0.702804.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
