"",BBEX3.M.MZN.USD.CA.AB.A01,BBEX3.M.MZN.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Mozambique / USD 1 = MZN ... (selling),
unit,MZN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:38,
2006-07,25.14,
2006-08,25.19,
2006-09,25.18,
2006-10,25.20,
2006-11,25.26,
2006-12,25.84,
2007-01,25.85,
2007-02,25.82,
2007-03,25.85,
2007-04,25.91,
2007-05,25.97,
2007-06,25.81,
2007-07,25.70,
2007-08,25.83,
2007-09,25.82,
2007-10,25.84,
2007-11,24.42,
2007-12,23.75,
2008-01,24.10,
2008-02,24.20,
2008-03,24.27,
2008-04,24.27,
2008-05,24.21,
2008-06,24.11,
2008-07,24.07,
2008-08,24.17,
2008-09,24.20,
2008-10,24.28,
2008-11,24.52,
2008-12,25.19,
2009-01,25.54,
2009-02,26.32,
2009-03,26.76,
2009-04,26.66,
2009-05,26.67,
2009-06,26.75,
2009-07,26.79,
2009-08,26.93,
2009-09,27.61,
2009-10,27.66,
2009-11,27.47,
2009-12,27.61,
2010-01,27.63,
2010-02,27.72,
2010-03,27.91,
2010-04,34.25,
2010-05,33.81,
2010-06,34.61,
2010-07,35.83,
2010-08,36.86,
2010-09,36.01,
2010-10,35.96,
2010-11,35.47,
2010-12,32.93,
2011-01,32.23,
2011-02,31.21,
2011-03,30.90,
2011-04,30.76,
2011-05,29.83,
2011-06,28.74,
2011-07,27.95,
2011-08,27.25,
2011-09,27.21,
2011-10,27.13,
2011-11,26.97,
2011-12,27.24,
2012-01,27.21,
2012-02,27.41,
2012-03,27.84,
2012-04,27.63,
2012-05,27.93,
2012-06,28.00,
2012-07,28.32,
2012-08,28.79,
2012-09,28.86,
2012-10,29.44,
2012-11,29.89,
2012-12,29.61,
2013-01,30.08,
2013-02,30.09,
2013-03,30.18,
2013-04,30.12,
2013-05,30.01,
2013-06,29.95,
2013-07,29.95,
2013-08,29.95,
2013-09,29.96,
2013-10,29.97,
2013-11,30.03,
2013-12,30.04,
2014-01,30.50,
2014-02,30.74,
2014-03,30.53,
2014-04,30.75,
2014-05,30.73,
2014-06,30.75,
2014-07,30.62,
2014-08,30.61,
2014-09,30.90,
2014-10,31.00,
2014-11,31.32,
2014-12,31.69,
2015-01,32.48,
"",General: Currency conversion with effect from 1 July 2006 at the rate of MZM 1000 (metical (old)) = MZN 1 (metical (new)). The currency conversion did not entail any appreciation or depreciation against other currencies.,
"","Source: Banco de Moçambique, Maputo.",
