"",BBEX3.M.NIO.EUR.CA.AC.A01,BBEX3.M.NIO.EUR.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Nicaragua * / EUR 1 = NIO ... (middle),
unit,NIO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:44,
2003-01,16.02680,
2003-02,16.04805,
2003-03,16.29665,
2003-04,16.72965,
2003-05,17.85635,
2003-06,17.34255,
2003-07,17.26240,
2003-08,16.74875,
2003-09,17.94575,
2003-10,17.98830,
2003-11,18.64725,
2003-12,19.73970,
2004-01,19.43275,
2004-02,19.55900,
2004-03,19.33840,
2004-04,18.97590,
2004-05,19.45480,
2004-06,19.46385,
2004-07,19.35545,
2004-08,19.55450,
2004-09,20.11580,
2004-10,20.72750,
2004-11,21.72800,
2004-12,22.35310,
2005-01,21.48025,
2005-02,21.92800,
2005-03,21.53235,
2005-04,21.60715,
2005-05,20.64860,
2005-06,20.32985,
2005-07,20.41050,
2005-08,20.67870,
2005-09,20.49630,
2005-10,20.54895,
2005-11,20.19555,
2005-12,20.32490,
2006-01,20.96755,
2006-02,20.62410,
2006-03,21.10920,
2006-04,21.95220,
2006-05,22.62530,
2006-06,22.44260,
2006-07,22.63155,
2006-08,22.87500,
2006-09,22.62555,
2006-10,22.78410,
2006-11,23.78385,
2006-12,23.82820,
2007-01,23.53480,
2007-02,24.09180,
2007-03,24.38765,
2007-04,25.01330,
2007-05,24.83660,
2007-06,25.03270,
2007-07,25.51270,
2007-08,25.61495,
2007-09,26.60725,
2007-10,27.22270,
2007-11,27.92620,
2007-12,27.96620,
2008-01,28.22504,
2008-02,28.90042,
2008-03,30.25421,
2008-04,29.85281,
2008-05,29.91478,
2008-06,30.53045,
2008-07,30.35934,
2008-08,28.77436,
2008-09,28.04275,
2008-10,25.11522,
2008-11,25.15657,
2008-12,27.62260,
2009-01,25.54293,
2009-02,25.29470,
2009-03,26.73351,
2009-04,26.77435,
2009-05,28.55240,
2009-06,28.74036,
2009-07,28.86782,
2009-08,29.26245,
2009-09,30.14379,
2009-10,30.59352,
2009-11,31.17918,
2009-12,30.02282,
2010-01,29.22665,
2010-02,28.50446,
2010-03,28.43085,
2010-04,28.19784,
2010-05,26.17133,
2010-06,26.19969,
2010-07,27.93138,
2010-08,27.29826,
2010-09,29.50029,
2010-10,30.07634,
2010-11,28.32524,
2010-12,29.23940,
2011-01,30.08598,
2011-02,30.51199,
2011-03,31.46481,
2011-04,33.04329,
2011-05,32.11983,
2011-06,32.40131,
2011-07,32.10140,
2011-08,32.66423,
2011-09,30.64614,
2011-10,31.90842,
2011-11,30.70253,
2011-12,29.72955,
2012-01,30.39940,
2012-02,31.13560,
2012-03,31.06218,
2012-04,30.85509,
2012-05,29.08131,
2012-06,29.63799,
2012-07,29.03741,
2012-08,29.93385,
2012-09,30.81400,
2012-10,31.09238,
2012-11,31.20016,
2012-12,31.83118,
2013-01,32.82582,
2013-02,31.92513,
2013-03,31.26661,
2013-04,32.04679,
2013-05,32.01739,
2013-06,32.32892,
2013-07,32.94722,
2013-08,32.98427,
2013-09,33.79248,
2013-10,34.27451,
2013-11,34.33647,
2013-12,34.93509,
2014-01,34.38065,
2014-02,35.26777,
2014-03,35.35023,
2014-04,35.65184,
2014-05,35.17178,
2014-06,35.44538,
2014-07,34.86554,
2014-08,34.51049,
2014-09,33.05969,
2014-10,33.04132,
2014-11,33.06547,
2014-12,32.29312,
2015-01,30.19430,
"","Source: Banco Central de Nicaragua, Managua.",
"","Methodology: * We do not have any data from Nicaragua on euro exchange rates; the comparable rates were calculated on the basis of the exchange rates (buying and selling rates until the end of 2007, middle rates thereafter) for the US dollar in Nicaragua in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
