"",BBEX3.M.ZAR.USD.CA.AC.A01,BBEX3.M.ZAR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in South Africa * / USD 1 = ZAR ... (middle),
unit,ZAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:27,
1988-01,1.98760,
1988-02,2.09220,
1988-03,2.12150,
1988-04,2.14850,
1988-05,2.23350,
1988-06,2.31350,
1988-07,2.44525,
1988-08,2.44925,
1988-09,2.49825,
1988-10,2.49025,
1988-11,2.29925,
1988-12,2.38075,
1989-01,2.40375,
1989-02,2.48775,
1989-03,2.55925,
1989-04,2.56325,
1989-05,2.78505,
1989-06,2.78175,
1989-07,2.64925,
1989-08,2.76975,
1989-09,2.69125,
1989-10,2.63525,
1989-11,2.60875,
1989-12,2.55315,
1990-01,2.55975,
1990-02,2.55525,
1990-03,2.65525,
1990-04,2.66375,
1990-05,2.65275,
1990-06,2.65925,
1990-07,2.61525,
1990-08,2.57125,
1990-09,2.56625,
1990-10,2.54475,
1990-11,2.52075,
1990-12,2.55975,
1991-01,2.54025,
1991-02,2.56575,
1991-03,2.73175,
1991-04,2.78775,
1991-05,2.80575,
1991-06,2.88875,
1991-07,2.86625,
1991-08,2.87375,
1991-09,2.80425,
1991-10,2.83225,
1991-11,2.80255,
1991-12,2.74175,
1992-01,2.80175,
1992-02,2.84425,
1992-03,2.87625,
1992-04,2.87525,
1992-05,2.83175,
1992-06,2.77075,
1992-07,2.76525,
1992-08,2.73825,
1992-09,2.81225,
1992-10,2.95775,
1992-11,2.99935,
1992-12,3.05305,
1993-01,3.07350,
1993-02,3.14175,
1993-03,3.18195,
1993-04,3.15925,
1993-05,3.17825,
1993-06,3.32425,
1993-07,3.37925,
1993-08,3.37875,
1993-09,3.43625,
1993-10,3.35625,
1993-11,3.36525,
1993-12,3.39825,
1994-01,3.42225,
1994-02,3.47325,
1994-03,3.48075,
1994-04,3.52425,
1994-05,3.63625,
1994-06,3.65075,
1994-07,3.67225,
1994-08,3.57925,
1994-09,3.56675,
1994-10,3.49325,
1994-11,3.55275,
1994-12,3.54400,
1995-01,3.53425,
1995-02,3.59825,
1995-03,3.59025,
1995-04,3.61825,
1995-05,3.68075,
1995-06,3.63625,
1995-07,3.61925,
1995-08,3.65725,
1995-09,3.64875,
1995-10,3.64725,
1995-11,3.66275,
1995-12,3.64575,
1996-01,3.65125,
1996-02,3.85900,
1996-03,3.98225,
1996-04,4.37500,
1996-05,4.36000,
1996-06,4.32950,
1996-07,4.50050,
1996-08,4.48700,
1996-09,4.53350,
1996-10,4.70550,
1996-11,4.60200,
1996-12,4.67850,
1997-01,4.56000,
1997-02,4.47750,
1997-03,4.42350,
1997-04,4.44650,
1997-05,4.47150,
1997-06,4.53550,
1997-07,4.61150,
1997-08,4.69200,
1997-09,4.65250,
1997-10,4.81400,
1997-11,4.85150,
1997-12,4.86550,
1998-01,4.93300,
1998-02,4.94250,
1998-03,5.03450,
1998-04,5.05500,
1998-05,5.15600,
1998-06,5.98000,
1998-07,6.13000,
1998-08,6.52500,
1998-09,5.95000,
1998-10,5.59000,
1998-11,5.69800,
1998-12,5.89050,
1999-01,6.06250,
1999-02,6.19050,
1999-03,6.15650,
1999-04,6.07300,
1999-05,6.22500,
1999-06,6.01750,
1999-07,6.17500,
1999-08,6.08700,
1999-09,6.00750,
1999-10,6.14150,
1999-11,6.17650,
1999-12,6.15075,
2000-01,6.30500,
2000-02,6.33650,
2000-03,6.55375,
2000-04,6.78750,
2000-05,6.96750,
2000-06,6.77750,
2000-07,6.95500,
2000-08,6.97550,
2000-09,7.23250,
2000-10,7.55750,
2000-11,7.73500,
2000-12,7.58750,
2001-01,7.74750,
2001-02,7.67000,
2001-03,8.03500,
2001-04,8.03450,
2001-05,7.99750,
2001-06,8.04600,
2001-07,8.26000,
2001-08,8.43150,
2001-09,9.03000,
2001-10,9.44500,
2001-11,10.26000,
2001-12,11.99500,
2002-01,11.40800,
2002-02,11.37900,
2002-03,11.33500,
2002-04,10.62600,
2002-05,9.82200,
2002-06,10.27000,
2002-07,10.16500,
2002-08,10.59000,
2002-09,10.52300,
2002-10,10.01050,
2002-11,9.23200,
2002-12,8.56000,
2003-01,8.49700,
