"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D1.F4.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D1.F4.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Debt instruments / Loans to foreign Direct investment enterprises / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:09,
1991-01,-45.886,
1991-02,-157.395,
1991-03,34.202,
1991-04,-52.274,
1991-05,-81.831,
1991-06,134.190,
1991-07,39.583,
1991-08,-70.406,
1991-09,128.412,
1991-10,-30.234,
1991-11,25.028,
1991-12,105.056,
1992-01,-28.657,
1992-02,30.249,
1992-03,24.448,
1992-04,-46.082,
1992-05,16.596,
1992-06,-158.156,
1992-07,-69.902,
1992-08,49.175,
1992-09,58.235,
1992-10,21.339,
1992-11,30.355,
1992-12,-221.895,
1993-01,6.109,
1993-02,76.896,
1993-03,55.062,
1993-04,-11.095,
1993-05,-35.353,
1993-06,184.668,
1993-07,-102.574,
1993-08,-5.416,
1993-09,95.418,
1993-10,119.347,
1993-11,19.034,
1993-12,-336.257,
1994-01,2.804,
1994-02,-7.279,
1994-03,56.565,
1994-04,51.128,
1994-05,-88.401,
1994-06,-77.336,
1994-07,-163.207,
1994-08,54.575,
1994-09,-111.368,
1994-10,91.523,
1994-11,65.742,
1994-12,-187.651,
1995-01,-19.995,
1995-02,19.962,
1995-03,-233.379,
1995-04,28.201,
1995-05,38.128,
1995-06,509.595,
1995-07,17.000,
1995-08,-42.514,
1995-09,197.644,
1995-10,262.188,
1995-11,306.990,
1995-12,130.520,
1996-01,1249.213,
1996-02,1459.842,
1996-03,1206.239,
1996-04,1695.232,
1996-05,2569.542,
1996-06,-645.356,
1996-07,-2410.978,
1996-08,39.705,
1996-09,3003.570,
1996-10,-1353.279,
1996-11,1548.184,
1996-12,5850.349,
1997-01,6146.702,
1997-02,2458.732,
1997-03,2015.389,
1997-04,3200.149,
1997-05,-649.720,
1997-06,-1235.959,
1997-07,-1252.262,
1997-08,-4163.490,
1997-09,2979.408,
1997-10,-1827.426,
1997-11,-928.578,
1997-12,1851.467,
1998-01,1708.705,
1998-02,6156.189,
1998-03,10904.137,
1998-04,3282.439,
1998-05,4524.937,
1998-06,-5322.235,
1998-07,-5480.087,
1998-08,-3387.716,
1998-09,5986.008,
1998-10,-4953.329,
1998-11,4181.858,
1998-12,182.733,
1999-01,1883.722,
1999-02,6873.261,
1999-03,9584.020,
1999-04,9706.021,
1999-05,7328.217,
1999-06,559.054,
1999-07,-11480.421,
1999-08,1540.310,
1999-09,-683.405,
1999-10,-1816.500,
1999-11,6232.237,
1999-12,-3061.701,
2000-01,2229.533,
2000-02,4555.581,
2000-03,11237.394,
2000-04,6338.398,
2000-05,15652.371,
2000-06,336.301,
2000-07,-16130.853,
2000-08,5542.460,
2000-09,-659.923,
2000-10,522.041,
2000-11,-1190.745,
2000-12,-936.645,
2001-01,1147.246,
2001-02,4155.030,
2001-03,2643.987,
2001-04,654.291,
2001-05,747.534,
2001-06,2192.824,
2001-07,-3929.387,
2001-08,1803.456,
2001-09,-4500.865,
2001-10,-499.837,
2001-11,-2115.579,
2001-12,7842.606,
2002-01,-3714.605,
2002-02,9586.842,
2002-03,-3310.074,
2002-04,-4079.517,
2002-05,3314.672,
2002-06,-613.449,
2002-07,3655.569,
2002-08,-1926.098,
2002-09,2028.170,
2002-10,768.505,
2002-11,-2019.332,
2002-12,-4857.382,
2003-01,8555.730,
2003-02,2747.317,
2003-03,-129.318,
2003-04,-2518.079,
2003-05,842.159,
2003-06,-3676.291,
2003-07,1192.592,
2003-08,-1796.924,
2003-09,4101.457,
2003-10,-1947.893,
2003-11,3418.031,
2003-12,-3343.848,
2004-01,10481.060,
2004-02,-7010.798,
2004-03,3276.527,
2004-04,-2136.801,
2004-05,355.383,
2004-06,709.582,
2004-07,183.283,
2004-08,1602.905,
2004-09,3123.093,
2004-10,-2690.954,
2004-11,-2670.719,
2004-12,-2158.313,
2005-01,31.750,
2005-02,3427.654,
2005-03,857.606,
2005-04,2591.256,
2005-05,-1368.192,
2005-06,5993.589,
2005-07,-3456.454,
2005-08,14.906,
2005-09,-305.513,
2005-10,-546.419,
2005-11,3154.688,
2005-12,2045.805,
2006-01,-481.955,
2006-02,7448.381,
2006-03,3114.683,
2006-04,6650.828,
2006-05,-3535.957,
2006-06,948.334,
2006-07,-2186.881,
2006-08,-1862.670,
2006-09,1289.058,
2006-10,3254.321,
2006-11,-4705.945,
2006-12,-1423.646,
2007-01,7911.842,
2007-02,-1121.068,
2007-03,1976.436,
2007-04,3305.315,
2007-05,4660.960,
2007-06,-2655.133,
2007-07,4536.153,
2007-08,2912.570,
2007-09,8468.988,
2007-10,-2984.647,
2007-11,-3478.948,
2007-12,-4156.452,
2008-01,2150.211,
2008-02,3234.923,
2008-03,2459.969,
2008-04,7652.603,
2008-05,-257.856,
2008-06,79.568,
2008-07,-123.971,
2008-08,-1076.246,
2008-09,7153.835,
2008-10,3918.457,
2008-11,3472.881,
2008-12,842.541,
2009-01,1495.364,
2009-02,-1971.674,
2009-03,5466.140,
2009-04,-754.915,
2009-05,3178.444,
2009-06,-1784.539,
2009-07,-1100.466,
2009-08,257.619,
2009-09,-1326.069,
2009-10,4637.117,
2009-11,562.037,
2009-12,4945.152,
2010-01,1411.188,
2010-02,-252.826,
2010-03,5408.365,
2010-04,-3365.576,
2010-05,8043.310,
2010-06,7733.561,
2010-07,-3083.027,
2010-08,-821.721,
2010-09,1141.997,
2010-10,-696.129,
2010-11,2064.319,
2010-12,-4633.071,
2011-01,2466.133,
2011-02,-396.960,
2011-03,3351.809,
2011-04,1040.809,
2011-05,-315.233,
2011-06,-2505.332,
2011-07,-488.895,
2011-08,978.706,
2011-09,-267.684,
2011-10,-3703.490,
2011-11,-3432.117,
2011-12,7376.238,
2012-01,-834.488,
2012-02,1414.494,
2012-03,4496.530,
2012-04,-1080.260,
2012-05,560.970,
2012-06,5022.744,
2012-07,-2417.486,
2012-08,-315.873,
2012-09,2313.140,
2012-10,-4727.115,
2012-11,2055.614,
2012-12,1830.824,
2013-01,-1475.049,
2013-02,-1007.828,
2013-03,4560.059,
2013-04,10800.009,
2013-05,758.956,
2013-06,2508.216,
2013-07,2233.781,
2013-08,5747.365,
2013-09,-4319.326,
2013-10,-9626.461,
2013-11,2266.680,
2013-12,1139.680,
2014-01,-2124.173,
2014-02,953.931,Provisional value
2014-03,2616.407,Provisional value
2014-04,6379.744,Provisional value
2014-05,-3707.370,Provisional value
2014-06,-290.134,Provisional value
2014-07,90.855,Provisional value
2014-08,2349.588,Provisional value
2014-09,957.392,
2014-10,443.328,
2014-11,300.934,
2014-12,4349.526,Provisional value
