"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:38,
1991-01,954.991,
1991-02,993.992,
1991-03,1470.655,
1991-04,1269.738,
1991-05,1093.520,
1991-06,1466.406,
1991-07,1436.670,
1991-08,1545.078,
1991-09,1385.680,
1991-10,1598.737,
1991-11,1476.937,
1991-12,2393.892,
1992-01,2817.089,
1992-02,2065.022,
1992-03,2079.360,
1992-04,2294.910,
1992-05,2287.104,
1992-06,2261.910,
1992-07,3462.446,
1992-08,4022.287,
1992-09,4552.946,
1992-10,6165.959,
1992-11,7287.133,
1992-12,9439.860,
1993-01,8858.366,
1993-02,5777.806,
1993-03,4929.268,
1993-04,5035.291,
1993-05,3687.649,
1993-06,3877.321,
1993-07,4776.068,
1993-08,4116.720,
1993-09,2947.812,
1993-10,3183.958,
1993-11,3370.233,
1993-12,3854.314,
1994-01,5662.976,
1994-02,3081.752,
1994-03,2568.438,
1994-04,1853.625,
1994-05,1715.289,
1994-06,1671.033,
1994-07,1519.817,
1994-08,5047.972,
1994-09,4191.915,
1994-10,3642.692,
1994-11,3711.215,
1994-12,8002.714,
1995-01,4222.457,
1995-02,2930.076,
1995-03,3183.362,
1995-04,3385.633,
1995-05,3600.661,
1995-06,3421.483,
1995-07,3030.950,
1995-08,3170.210,
1995-09,3077.209,
1995-10,2999.618,
1995-11,3045.844,
1995-12,6548.841,
1996-01,4615.857,
1996-02,4555.281,
1996-03,4729.089,
1996-04,3514.016,
1996-05,3083.863,
1996-06,3337.472,
1996-07,3474.479,
1996-08,2864.098,
1996-09,2262.071,
1996-10,2707.506,
1996-11,3086.169,
1996-12,4468.874,
1997-01,7055.207,
1997-02,3600.794,
1997-03,4477.828,
1997-04,3437.087,
1997-05,3466.935,
1997-06,4013.956,
1997-07,4361.192,
1997-08,5336.736,
1997-09,4591.464,
1997-10,4399.439,
1997-11,3370.205,
1997-12,3799.692,
1998-01,6038.317,
1998-02,4874.104,
1998-03,5341.994,
1998-04,6702.947,
1998-05,4755.508,
1998-06,5733.266,
1998-07,5273.751,
1998-08,4308.332,
1998-09,4202.080,
1998-10,6054.752,
1998-11,4542.213,
1998-12,6385.107,
1999-01,7310.145,
1999-02,4944.768,
1999-03,7632.565,
1999-04,5245.406,
1999-05,5007.794,
1999-06,5315.124,
1999-07,6447.425,
1999-08,6036.190,
1999-09,5236.525,
1999-10,6756.923,
1999-11,10197.280,
1999-12,11194.020,
2000-01,16158.794,
2000-02,14170.682,
2000-03,13678.275,
2000-04,10879.080,
2000-05,11300.976,
2000-06,7878.592,
2000-07,9762.975,
2000-08,10824.485,
2000-09,10485.447,
2000-10,10715.631,
2000-11,10514.251,
2000-12,9904.435,
2001-01,12373.665,
2001-02,9456.362,
2001-03,10839.873,
2001-04,9899.421,
2001-05,10380.543,
2001-06,9710.308,
2001-07,9436.109,
2001-08,11565.806,
2001-09,10336.323,
2001-10,10114.458,
