"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4Q.D.FL._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4Q.D.FL._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Interest on Loans / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:35,
1991-01,20.718,
1991-02,20.932,
1991-03,20.846,
1991-04,19.362,
1991-05,18.453,
1991-06,18.895,
1991-07,16.617,
1991-08,15.808,
1991-09,14.317,
1991-10,13.671,
1991-11,12.727,
1991-12,11.940,
1992-01,11.843,
1992-02,12.291,
1992-03,11.958,
1992-04,11.529,
1992-05,11.189,
1992-06,9.886,
1992-07,10.184,
1992-08,11.521,
1992-09,11.661,
1992-10,11.565,
1992-11,11.950,
1992-12,14.230,
1993-01,12.958,
1993-02,10.718,
1993-03,11.069,
1993-04,11.724,
1993-05,11.858,
1993-06,15.041,
1993-07,15.369,
1993-08,14.596,
1993-09,15.854,
1993-10,16.916,
1993-11,19.064,
1993-12,17.811,
1994-01,19.125,
1994-02,19.981,
1994-03,22.218,
1994-04,26.074,
1994-05,28.107,
1994-06,26.306,
1994-07,28.721,
1994-08,29.721,
1994-09,31.067,
1994-10,31.428,
1994-11,30.823,
1994-12,31.905,
1995-01,33.410,
1995-02,33.743,
1995-03,33.571,
1995-04,32.749,
1995-05,35.945,
1995-06,40.014,
1995-07,40.834,
1995-08,43.674,
1995-09,42.932,
1995-10,47.880,
1995-11,55.221,
1995-12,61.079,
1996-01,80.055,
1996-02,89.683,
1996-03,95.629,
1996-04,103.204,
1996-05,109.046,
1996-06,117.829,
1996-07,121.956,
1996-08,130.871,
1996-09,140.356,
1996-10,144.361,
1996-11,150.365,
1996-12,151.061,
1997-01,148.122,
1997-02,141.323,
1997-03,141.335,
1997-04,140.954,
1997-05,145.183,
1997-06,154.621,
1997-07,158.981,
1997-08,160.634,
1997-09,163.702,
1997-10,170.268,
1997-11,165.697,
1997-12,166.564,
1998-01,164.227,
1998-02,179.958,
1998-03,176.489,
1998-04,172.792,
1998-05,165.319,
1998-06,151.734,
1998-07,152.537,
1998-08,153.126,
1998-09,145.801,
1998-10,134.622,
1998-11,138.337,
1998-12,137.324,
1999-01,136.894,
1999-02,137.102,
1999-03,151.524,
1999-04,162.016,
1999-05,181.168,
1999-06,201.356,
1999-07,238.530,
1999-08,265.557,
1999-09,293.883,
1999-10,320.093,
1999-11,339.166,
1999-12,367.092,
2000-01,399.765,
2000-02,419.182,
2000-03,428.408,
2000-04,434.783,
2000-05,447.560,
2000-06,456.358,
2000-07,441.458,
2000-08,441.628,
2000-09,437.194,
2000-10,429.795,
2000-11,428.280,
2000-12,412.597,
2001-01,402.873,
2001-02,377.594,
2001-03,378.458,
2001-04,368.180,
2001-05,346.107,
2001-06,326.579,
2001-07,313.313,
2001-08,296.487,
2001-09,278.874,
2001-10,272.119,
2001-11,251.012,
2001-12,245.199,
2002-01,251.545,
2002-02,248.970,
2002-03,227.291,
2002-04,220.287,
2002-05,214.773,
2002-06,203.772,
2002-07,187.734,
2002-08,178.380,
2002-09,170.830,
2002-10,158.993,
2002-11,154.049,
2002-12,148.002,
2003-01,121.527,
2003-02,118.432,
2003-03,118.596,
2003-04,128.226,
2003-05,129.200,
2003-06,126.594,
2003-07,142.132,
2003-08,141.977,
2003-09,145.515,
2003-10,150.335,
2003-11,156.089,
2003-12,162.711,
2004-01,172.509,
2004-02,172.898,
2004-03,173.460,
2004-04,175.366,
2004-05,175.709,
2004-06,190.698,
2004-07,189.602,
2004-08,184.710,
2004-09,187.861,
2004-10,194.953,
2004-11,199.146,
2004-12,205.588,
2005-01,218.593,
2005-02,232.131,
2005-03,232.382,
2005-04,226.959,
2005-05,229.006,
2005-06,224.563,
2005-07,230.063,
2005-08,242.655,
2005-09,245.725,
2005-10,246.827,
2005-11,250.230,
2005-12,254.634,
2006-01,282.412,
2006-02,281.494,
2006-03,293.344,
2006-04,308.060,
2006-05,312.834,
2006-06,321.259,
2006-07,330.125,
2006-08,340.053,
2006-09,351.156,
2006-10,369.265,
2006-11,386.571,
2006-12,403.478,
2007-01,446.450,
