"",BBFB1.M.N.DE.W1.S1.S1.T.C.KA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.KA._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:51,
1991-01,59.291,
1991-02,5.502,
1991-03,26.527,
1991-04,286.980,
1991-05,29.663,
1991-06,21.172,
1991-07,12.933,
1991-08,24.062,
1991-09,170.648,
1991-10,22.055,
1991-11,28.537,
1991-12,68.061,
1992-01,56.003,
1992-02,86.716,
1992-03,126.596,
1992-04,16.578,
1992-05,37.939,
1992-06,2.467,
1992-07,72.705,
1992-08,20.985,
1992-09,89.242,
1992-10,45.886,
1992-11,13.640,
1992-12,408.582,
1993-01,407.217,
1993-02,26.492,
1993-03,11.684,
1993-04,7.819,
1993-05,60.586,
1993-06,134.475,
1993-07,74.053,
1993-08,130.339,
1993-09,212.404,
1993-10,37.372,
1993-11,82.726,
1993-12,140.407,
1994-01,456.819,
1994-02,26.199,
1994-03,13.845,
1994-04,41.536,
1994-05,70.534,
1994-06,11.313,
1994-07,13.383,
1994-08,43.670,
1994-09,641.713,
1994-10,17.017,
1994-11,105.515,
1994-12,129.317,
1995-01,377.961,
1995-02,24.949,
1995-03,15.759,
1995-04,42.229,
1995-05,67.546,
1995-06,91.707,
1995-07,61.321,
1995-08,97.181,
1995-09,131.759,
1995-10,114.168,
1995-11,135.494,
1995-12,491.147,
1996-01,539.081,
1996-02,18.167,
1996-03,230.665,
1996-04,260.344,
1996-05,120.578,
1996-06,264.559,
1996-07,361.679,
1996-08,73.203,
1996-09,118.892,
1996-10,327.465,
1996-11,117.769,
1996-12,143.820,
1997-01,794.978,
1997-02,78.371,
1997-03,61.873,
1997-04,67.771,
1997-05,47.576,
1997-06,311.593,
1997-07,393.099,
1997-08,529.722,
1997-09,413.523,
1997-10,165.052,
1997-11,33.028,
1997-12,208.846,
1998-01,415.647,
1998-02,98.858,
1998-03,369.328,
1998-04,315.699,
1998-05,179.072,
1998-06,24.447,
1998-07,408.891,
1998-08,508.884,
1998-09,167.012,
1998-10,166.620,
1998-11,363.277,
1998-12,617.529,
1999-01,657.015,
1999-02,45.720,
1999-03,80.547,
1999-04,96.479,
1999-05,290.948,
1999-06,183.532,
1999-07,133.371,
1999-08,56.188,
1999-09,134.603,
1999-10,381.821,
1999-11,523.732,
1999-12,936.863,
2000-01,372.624,
2000-02,41.637,
2000-03,377.362,
2000-04,414.437,
2000-05,214.904,
2000-06,70.783,
2000-07,307.325,
2000-08,8472.187,
2000-09,97.357,
2000-10,143.621,
2000-11,126.509,
2000-12,489.902,
2001-01,777.182,
2001-02,348.513,
2001-03,151.814,
2001-04,100.230,
2001-05,158.606,
2001-06,521.520,
2001-07,69.818,
2001-08,52.210,
2001-09,154.216,
2001-10,108.485,
2001-11,107.323,
2001-12,1393.969,
2002-01,690.173,
2002-02,48.544,
2002-03,31.943,
2002-04,69.400,
2002-05,304.041,
2002-06,223.781,
2002-07,98.036,
2002-08,308.986,
2002-09,388.467,
2002-10,176.704,
2002-11,249.096,
2002-12,1116.742,
2003-01,734.974,
2003-02,113.384,
2003-03,154.560,
2003-04,81.484,
2003-05,400.309,
2003-06,331.795,
2003-07,311.570,
2003-08,433.637,
2003-09,159.708,
2003-10,293.797,
2003-11,426.907,
2003-12,1270.063,
2004-01,249.678,
2004-02,85.696,
2004-03,666.929,
2004-04,320.826,
2004-05,228.352,
2004-06,329.634,
2004-07,589.811,
2004-08,284.826,
2004-09,154.541,
2004-10,252.250,
2004-11,93.708,
2004-12,446.026,
2005-01,927.974,
2005-02,131.293,
2005-03,79.620,
2005-04,276.130,
2005-05,563.070,
2005-06,297.769,
2005-07,410.889,
2005-08,285.450,
2005-09,262.023,
2005-10,583.530,
2005-11,195.502,
2005-12,1038.323,
2006-01,625.573,
2006-02,587.680,
2006-03,220.788,
2006-04,125.227,
2006-05,121.278,
2006-06,1084.396,
2006-07,136.207,
2006-08,430.973,
2006-09,95.925,
2006-10,291.032,
2006-11,291.612,
2006-12,881.996,
2007-01,1058.095,
2007-02,271.857,
2007-03,129.893,
2007-04,458.928,
2007-05,594.943,
2007-06,200.222,
2007-07,664.437,
2007-08,268.099,
2007-09,245.417,
2007-10,388.120,
2007-11,494.417,
2007-12,588.143,
2008-01,1261.246,
2008-02,488.294,
2008-03,392.453,
2008-04,205.563,
2008-05,691.849,
2008-06,288.209,
