"",BBFB1.M.N.DE.W1.S1.S1.T.C.SA___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SA___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Deductions / Exports for processing / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:50,
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,777.193,
1993-02,777.193,
1993-03,777.193,
1993-04,872.758,
1993-05,872.758,
1993-06,872.758,
1993-07,809.259,
1993-08,809.259,
1993-09,809.259,
1993-10,1015.529,
1993-11,1015.529,
1993-12,1015.529,
1994-01,868.732,
1994-02,868.732,
1994-03,868.732,
1994-04,1065.285,
1994-05,1065.285,
1994-06,1065.285,
1994-07,899.067,
1994-08,899.067,
1994-09,899.067,
1994-10,1124.921,
1994-11,1124.921,
1994-12,1124.921,
1995-01,1038.870,
1995-02,1038.870,
1995-03,1038.870,
1995-04,1283.189,
1995-05,1364.142,
1995-06,1091.466,
1995-07,1018.964,
1995-08,1018.964,
1995-09,1067.657,
1995-10,1207.101,
1995-11,1207.605,
1995-12,857.785,
1996-01,1014.309,
1996-02,1042.351,
1996-03,1062.639,
1996-04,1092.932,
1996-05,1198.896,
1996-06,1159.324,
1996-07,1156.823,
1996-08,876.557,
1996-09,1070.940,
1996-10,1281.033,
1996-11,1339.754,
1996-12,1108.136,
1997-01,1081.551,
1997-02,1051.148,
1997-03,992.947,
1997-04,1107.708,
1997-05,1118.608,
1997-06,1206.811,
1997-07,1171.019,
1997-08,868.283,
1997-09,1061.912,
1997-10,1151.816,
1997-11,1182.553,
1997-12,1008.596,
1998-01,936.717,
1998-02,999.512,
1998-03,1123.967,
1998-04,1081.536,
1998-05,1315.970,
1998-06,1174.483,
1998-07,1153.289,
1998-08,846.140,
1998-09,983.917,
1998-10,1193.558,
1998-11,1177.100,
1998-12,1046.621,
1999-01,881.616,
1999-02,978.517,
1999-03,1000.716,
1999-04,1019.920,
1999-05,990.967,
1999-06,1232.883,
1999-07,1070.437,
1999-08,832.583,
1999-09,990.605,
1999-10,1118.474,
1999-11,1161.019,
1999-12,1165.430,
2000-01,1048.098,
2000-02,978.362,
2000-03,1182.579,
2000-04,1110.141,
2000-05,1327.434,
2000-06,1236.999,
2000-07,1209.201,
2000-08,1076.700,
2000-09,1074.617,
2000-10,1293.008,
2000-11,1340.471,
2000-12,1074.892,
2001-01,1325.879,
2001-02,1177.259,
2001-03,1294.145,
2001-04,1278.798,
2001-05,1389.088,
2001-06,1331.306,
2001-07,1252.758,
2001-08,1069.897,
2001-09,1133.244,
2001-10,1328.570,
