"",BBFB1.M.N.DE.W1.S1.S1.T.D.SJ3._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SJ3._Z._Z._Z._T._X.N_FLAGS
"","Current account / Other business services / Technical, trade-related, and other business services / Expenditure / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:58,
1991-01,858.053,
1991-02,674.075,
1991-03,718.668,
1991-04,694.078,
1991-05,733.632,
1991-06,720.333,
1991-07,725.148,
1991-08,751.327,
1991-09,630.253,
1991-10,803.247,
1991-11,766.096,
1991-12,864.713,
1992-01,941.383,
1992-02,768.090,
1992-03,804.254,
1992-04,719.459,
1992-05,877.819,
1992-06,843.148,
1992-07,962.731,
1992-08,815.727,
1992-09,667.257,
1992-10,846.647,
1992-11,808.769,
1992-12,1095.238,
1993-01,896.757,
1993-02,730.582,
1993-03,755.343,
1993-04,850.326,
1993-05,798.605,
1993-06,869.475,
1993-07,998.675,
1993-08,850.138,
1993-09,737.398,
1993-10,866.256,
1993-11,816.966,
1993-12,1033.607,
1994-01,949.180,
1994-02,812.724,
1994-03,944.433,
1994-04,769.028,
1994-05,817.078,
1994-06,836.343,
1994-07,828.229,
1994-08,950.217,
1994-09,947.370,
1994-10,859.149,
1994-11,875.274,
1994-12,1199.157,
1995-01,1084.816,
1995-02,979.452,
1995-03,956.566,
1995-04,745.372,
1995-05,903.686,
1995-06,813.997,
1995-07,975.971,
1995-08,955.894,
1995-09,695.101,
1995-10,990.697,
1995-11,1026.533,
1995-12,999.088,
1996-01,1038.674,
1996-02,881.736,
1996-03,879.361,
1996-04,768.424,
1996-05,853.622,
1996-06,896.305,
1996-07,992.381,
1996-08,1010.554,
1996-09,864.073,
1996-10,968.264,
1996-11,1049.739,
1996-12,1116.785,
1997-01,1108.982,
1997-02,1031.451,
1997-03,951.114,
1997-04,942.670,
1997-05,1062.713,
1997-06,955.620,
1997-07,1071.781,
1997-08,1025.376,
1997-09,1043.063,
1997-10,1290.899,
1997-11,1055.750,
1997-12,1299.609,
1998-01,1164.564,
1998-02,1026.569,
1998-03,1094.900,
1998-04,1012.270,
1998-05,1183.459,
1998-06,1138.010,
1998-07,1081.429,
1998-08,1345.055,
1998-09,1121.212,
1998-10,1200.340,
1998-11,937.329,
1998-12,1469.538,
1999-01,1143.911,
1999-02,1136.194,
1999-03,1037.718,
1999-04,1093.985,
1999-05,1033.794,
1999-06,1221.085,
1999-07,1308.433,
1999-08,1222.117,
1999-09,1236.996,
1999-10,1426.275,
1999-11,1386.215,
1999-12,1757.364,
2000-01,1381.106,
2000-02,1323.958,
2000-03,1405.882,
2000-04,1265.717,
2000-05,1332.785,
2000-06,1321.203,
2000-07,1324.770,
2000-08,1348.985,
2000-09,1436.742,
2000-10,1441.381,
2000-11,1389.803,
2000-12,2012.036,
2001-01,1616.509,
2001-02,1504.738,
2001-03,1632.270,
2001-04,1387.050,
2001-05,1517.158,
2001-06,1514.953,
2001-07,1966.619,
2001-08,1565.630,
2001-09,1444.129,
2001-10,1588.783,
2001-11,1471.549,
2001-12,1969.151,
2002-01,1617.706,
2002-02,1405.136,
2002-03,1512.173,
2002-04,1582.122,
2002-05,1490.358,
2002-06,1388.087,
2002-07,1514.694,
2002-08,1446.696,
2002-09,1333.390,
2002-10,1555.191,
2002-11,1306.702,
2002-12,1893.579,
2003-01,1648.368,
2003-02,1303.384,
2003-03,1303.834,
2003-04,1551.024,
2003-05,1359.012,
2003-06,1271.222,
2003-07,1591.252,
2003-08,1183.242,
2003-09,1319.758,
2003-10,1370.880,
2003-11,1322.029,
2003-12,2012.474,
2004-01,1511.958,
2004-02,1308.562,
2004-03,1507.751,
2004-04,1366.972,
2004-05,1417.981,
2004-06,1450.515,
2004-07,1472.003,
2004-08,1352.093,
2004-09,1474.099,
2004-10,1335.844,
