"",BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:37,
1991-01,-157.476,
1991-02,138.176,
1991-03,332.214,
1991-04,-96.222,
1991-05,97.277,
1991-06,416.848,
1991-07,-70.153,
1991-08,32.742,
1991-09,157.730,
1991-10,175.573,
1991-11,124.457,
1991-12,55.924,
1992-01,6.612,
1992-02,148.870,
1992-03,379.361,
1992-04,120.219,
1992-05,91.203,
1992-06,158.487,
1992-07,30.009,
1992-08,-62.658,
1992-09,437.519,
1992-10,112.975,
1992-11,119.140,
1992-12,499.004,
1993-01,75.831,
1993-02,81.371,
1993-03,463.196,
1993-04,51.163,
1993-05,144.242,
1993-06,555.293,
1993-07,-220.249,
1993-08,4.220,
1993-09,415.636,
1993-10,-33.580,
1993-11,-27.904,
1993-12,1833.887,
1994-01,-10.416,
1994-02,-7.140,
1994-03,907.283,
1994-04,-6.157,
1994-05,-2.637,
1994-06,1031.897,
1994-07,12.264,
1994-08,-17.113,
1994-09,-154.090,
1994-10,-2.248,
1994-11,11.600,
1994-12,842.522,
1995-01,3.985,
1995-02,15.741,
1995-03,380.499,
1995-04,-1093.466,
1995-05,151.232,
1995-06,65.404,
1995-07,43.240,
1995-08,53.383,
1995-09,57.152,
1995-10,47.482,
1995-11,1207.428,
1995-12,297.795,
1996-01,63.700,
1996-02,110.706,
1996-03,58.380,
1996-04,16.856,
1996-05,137.516,
1996-06,-1.112,
1996-07,10.068,
1996-08,52.417,
1996-09,-72.714,
1996-10,6.094,
1996-11,108.377,
1996-12,229.248,
1997-01,-16.191,
1997-02,556.208,
1997-03,297.906,
1997-04,34.740,
1997-05,-31.890,
1997-06,70.761,
1997-07,312.743,
1997-08,122.899,
1997-09,-2.069,
1997-10,-11.636,
1997-11,113.599,
1997-12,128.065,
1998-01,281.719,
1998-02,-2.974,
1998-03,15.618,
1998-04,-15.075,
1998-05,30.205,
1998-06,69.430,
1998-07,300.479,
1998-08,35.423,
1998-09,19.325,
1998-10,84.732,
1998-11,65.141,
1998-12,80.366,
1999-01,63.079,
1999-02,-3.476,
