"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / Enterprises and households / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:02,
1991-01,50.640,
1991-02,595.705,
1991-03,166.152,
1991-04,235.371,
1991-05,-88.395,
1991-06,176.493,
1991-07,288.612,
1991-08,95.799,
1991-09,-132.188,
1991-10,472.776,
1991-11,511.438,
1991-12,580.177,
1992-01,502.961,
1992-02,167.539,
1992-03,-130.057,
1992-04,297.701,
1992-05,-362.388,
1992-06,321.429,
1992-07,148.747,
1992-08,415.031,
1992-09,830.970,
1992-10,742.056,
1992-11,65.570,
1992-12,637.625,
1993-01,449.152,
1993-02,798.809,
1993-03,300.363,
1993-04,199.391,
1993-05,338.188,
1993-06,216.155,
1993-07,107.235,
1993-08,261.427,
1993-09,-322.374,
1993-10,219.081,
1993-11,148.323,
1993-12,1520.828,
1994-01,-54.398,
1994-02,-124.772,
1994-03,243.981,
1994-04,98.107,
1994-05,-396.184,
1994-06,-680.734,
1994-07,223.790,
1994-08,563.630,
1994-09,-414.898,
1994-10,-1155.945,
1994-11,139.236,
1994-12,570.492,
1995-01,3.467,
1995-02,-85.447,
1995-03,148.542,
1995-04,417.147,
1995-05,-297.386,
1995-06,-356.299,
1995-07,-1.996,
1995-08,-226.634,
1995-09,586.166,
1995-10,125.360,
1995-11,295.090,
1995-12,-74.328,
1996-01,92.230,
1996-02,-174.796,
1996-03,-326.733,
1996-04,-0.127,
1996-05,120.354,
1996-06,-95.846,
1996-07,-44.192,
1996-08,222.858,
1996-09,390.135,
1996-10,125.808,
1996-11,-139.227,
1996-12,269.196,
1997-01,129.102,
1997-02,-197.437,
1997-03,-11.229,
1997-04,-128.897,
1997-05,-195.283,
1997-06,392.338,
1997-07,-45.342,
1997-08,-15.809,
1997-09,-57.543,
1997-10,162.759,
1997-11,-36.005,
1997-12,363.169,
1998-01,-63.236,
1998-02,-93.526,
1998-03,46.699,
1998-04,284.510,
1998-05,900.401,
1998-06,1869.068,
1998-07,917.316,
1998-08,52.544,
1998-09,3367.363,
1998-10,-174.029,
1998-11,-125.873,
1998-12,1152.538,
1999-01,485.818,
1999-02,-220.065,
1999-03,1991.241,
1999-04,450.391,
1999-05,1106.633,
1999-06,-117.896,
1999-07,-37.152,
1999-08,-453.427,
1999-09,156.449,
1999-10,76.846,
1999-11,247.025,
1999-12,167.503,
2000-01,484.326,
2000-02,-5.106,
2000-03,1423.640,
2000-04,-491.567,
2000-05,-390.372,
2000-06,270.202,
2000-07,1143.956,
2000-08,58.998,
2000-09,340.283,
2000-10,-274.674,
2000-11,742.567,
2000-12,767.599,
2001-01,1257.319,
2001-02,4852.601,
2001-03,-530.740,
2001-04,2310.116,
2001-05,336.161,
2001-06,-669.330,
2001-07,1624.536,
2001-08,-348.275,
2001-09,625.052,
2001-10,1334.955,
2001-11,1282.139,
2001-12,-296.275,
2002-01,259.491,
2002-02,914.442,
2002-03,1175.182,
2002-04,14.392,
2002-05,242.278,
2002-06,-66.446,
2002-07,624.773,
2002-08,366.322,
