"",BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:03,
1991-01,-112.200,
1991-04,-110.465,
1991-07,-,Nothing exists
1991-10,1.023,
1992-01,12.964,
1992-04,-,Nothing exists
1992-07,-26.264,
1992-10,9.624,
1993-01,-15.835,
1993-04,-,Nothing exists
1993-07,25.910,
1993-10,-36.465,
1994-01,-,Nothing exists
1994-04,-15.339,
1994-07,-,Nothing exists
1994-10,-,Nothing exists
1995-01,-,Nothing exists
1995-04,-,Nothing exists
1995-07,-,Nothing exists
1995-10,-,Nothing exists
1996-01,-,Nothing exists
1996-04,-,Nothing exists
1996-07,-,Nothing exists
1996-10,-,Nothing exists
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-1.380,
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-102.258,
1999-01,-,Nothing exists
1999-04,-,Nothing exists
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-,Nothing exists
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-,Nothing exists
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,85.672,
2011-01,-,Nothing exists
2011-04,1.350,
2011-07,-,Nothing exists
2011-10,1.599,
2012-01,-0.552,
2012-04,1.585,
2012-07,-,Nothing exists
2012-10,1.290,
2013-01,-,Nothing exists
2013-04,1.030,
2013-07,-,Nothing exists
2013-10,1.053,
2014-01,-,Nothing exists
2014-04,501.086,Provisional value
2014-07,-0.064,Provisional value
2014-10,-91.064,Provisional value
