"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:14,
1991-01,1035.856,
1991-04,449.582,
1991-07,901.046,
1991-10,580.795,
1992-01,1076.037,
1992-04,78.081,
1992-07,716.491,
1992-10,-1114.495,
1993-01,413.430,
1993-04,3657.519,
1993-07,3290.214,
1993-10,2158.090,
1994-01,3175.282,
1994-04,-30.025,
1994-07,330.695,
1994-10,-673.530,
1995-01,-2612.096,
1995-04,679.936,
1995-07,26.022,
1995-10,2271.573,
1996-01,913.531,
1996-04,-833.094,
1996-07,4447.520,
1996-10,5251.878,
1997-01,1731.080,
1997-04,1065.670,
1997-07,3597.046,
1997-10,98.522,
1998-01,3811.534,
1998-04,3446.671,
1998-07,189.269,
1998-10,20060.978,
1999-01,-793.712,
1999-04,-40.175,
1999-07,6293.227,
1999-10,145.376,
2000-01,-22555.095,
2000-04,1002.064,
2000-07,2913.596,
2000-10,-2806.076,
2001-01,2210.017,
2001-04,32805.935,
2001-07,-1021.962,
2001-10,6553.597,
2002-01,5978.317,
2002-04,162.777,
2002-07,1149.735,
2002-10,274.734,
2003-01,1433.856,
2003-04,4274.966,
2003-07,373.897,
2003-10,578.968,
2004-01,-8313.527,
2004-04,-2422.599,
2004-07,382.469,
2004-10,1691.699,
2005-01,1249.089,
2005-04,4237.534,
2005-07,1453.755,
2005-10,-5349.882,
2006-01,3184.476,
2006-04,2969.327,
2006-07,-1711.203,
2006-10,14347.845,
2007-01,986.616,
2007-04,4133.291,
2007-07,-6188.000,
2007-10,-988.254,
2008-01,921.235,
2008-04,5318.425,
2008-07,-4766.514,
2008-10,-911.314,
2009-01,-6052.185,
2009-04,-4382.239,
2009-07,-896.440,
2009-10,-6354.900,
2010-01,2139.149,
2010-04,-1878.570,
2010-07,-1457.100,
2010-10,-2388.246,
2011-01,-6140.509,
2011-04,-2.184,
2011-07,-2949.319,
2011-10,-4691.800,
2012-01,-434.416,
2012-04,-1473.325,
2012-07,3179.855,
2012-10,1441.035,
2013-01,-1633.089,
2013-04,-1717.306,
2013-07,-6561.189,
2013-10,-7813.362,
2014-01,-8109.913,Provisional value
2014-04,521.940,Provisional value
2014-07,1116.975,Provisional value
2014-10,-10840.902,Provisional value
