"",BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:18,
1991-01,-144.500,
1991-04,-95.026,
1991-07,-123.349,
1991-10,-118.775,
1992-01,-251.316,
1992-04,-229.338,
1992-07,-203.951,
1992-10,-243.278,
1993-01,-17.920,
1993-04,-14.811,
1993-07,-14.135,
1993-10,-60.844,
1994-01,-361.197,
1994-04,-365.247,
1994-07,-416.048,
1994-10,-513.816,
1995-01,3.417,
1995-04,50.803,
1995-07,61.969,
1995-10,-33.143,
1996-01,155.024,
1996-04,215.198,
1996-07,210.863,
1996-10,211.791,
1997-01,160.221,
1997-04,196.753,
1997-07,204.047,
1997-10,184.806,
1998-01,215.061,
1998-04,729.037,
1998-07,713.767,
1998-10,713.099,
1999-01,-599.737,
1999-04,-520.999,
1999-07,-493.041,
1999-10,-550.163,
2000-01,-79.186,
2000-04,-171.084,
2000-07,-161.712,
2000-10,-561.866,
2001-01,-2089.860,
2001-04,-1922.359,
2001-07,-2047.476,
2001-10,-2300.966,
2002-01,-967.571,
2002-04,-805.370,
2002-07,-1071.659,
2002-10,-2065.112,
2003-01,-319.796,
2003-04,-505.152,
2003-07,-370.857,
2003-10,-782.015,
2004-01,733.863,
2004-04,854.153,
2004-07,798.927,
2004-10,221.153,
2005-01,1082.555,
2005-04,1192.747,
2005-07,1164.235,
2005-10,581.083,
2006-01,1365.363,
2006-04,905.877,
2006-07,1588.684,
2006-10,1241.573,
2007-01,-611.472,
2007-04,50.145,
2007-07,75.401,
2007-10,-610.599,
2008-01,-2875.737,
2008-04,-1043.108,
2008-07,-759.799,
2008-10,-2597.189,
2009-01,-265.271,
2009-04,389.007,
2009-07,401.610,
2009-10,-223.712,
2010-01,495.450,
2010-04,-38.191,
2010-07,1061.131,
2010-10,-920.379,
2011-01,890.514,
2011-04,1214.394,
2011-07,467.187,
2011-10,-282.512,
2012-01,512.134,
2012-04,1368.187,
2012-07,954.050,
2012-10,851.239,
2013-01,-1202.285,
2013-04,-538.614,
2013-07,-1478.226,
2013-10,-569.075,
2014-01,-923.796,Provisional value
2014-04,-543.993,Provisional value
2014-07,-2829.481,Provisional value
2014-10,-2129.909,Provisional value
