"",BBFB1.Q.N.DE.A7.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:18,
1991-01,-69.299,
1991-04,-15.127,
1991-07,-27.834,
1991-10,-64.635,
1992-01,-54.697,
1992-04,-4.091,
1992-07,-83.425,
1992-10,-74.562,
1993-01,-61.258,
1993-04,-44.107,
1993-07,-34.106,
1993-10,-27.813,
1994-01,-71.029,
1994-04,-38.380,
1994-07,-22.751,
1994-10,-73.608,
1995-01,-42.878,
1995-04,-32.223,
1995-07,2.299,
1995-10,-64.718,
1996-01,-56.365,
1996-04,14.189,
1996-07,-28.875,
1996-10,19.039,
1997-01,-51.739,
1997-04,-70.505,
1997-07,-13.612,
1997-10,-74.763,
1998-01,-73.787,
1998-04,-50.614,
1998-07,-48.514,
1998-10,-97.437,
1999-01,63.793,
1999-04,10.258,
1999-07,-30.339,
1999-10,-110.192,
2000-01,-70.850,
2000-04,-60.920,
2000-07,-44.713,
2000-10,-12.977,
2001-01,-36.317,
2001-04,5.921,
2001-07,31.566,
2001-10,-93.327,
2002-01,-100.678,
2002-04,30.638,
2002-07,-6.376,
2002-10,-58.472,
2003-01,-227.844,
2003-04,18.692,
2003-07,101.521,
2003-10,77.022,
2004-01,-8.650,
2004-04,93.992,
2004-07,122.061,
2004-10,148.747,
2005-01,-33.621,
2005-04,180.167,
2005-07,149.430,
2005-10,175.979,
2006-01,124.781,
2006-04,119.640,
2006-07,175.475,
2006-10,145.967,
2007-01,105.884,
2007-04,352.139,
2007-07,395.348,
2007-10,436.821,
2008-01,385.268,
2008-04,583.320,
2008-07,530.578,
2008-10,512.666,
2009-01,435.932,
2009-04,510.549,
2009-07,402.489,
2009-10,358.699,
2010-01,379.662,
2010-04,511.945,
2010-07,590.166,
2010-10,520.976,
2011-01,417.339,
2011-04,430.534,
2011-07,349.412,
2011-10,516.715,
2012-01,52.056,
2012-04,312.941,
2012-07,391.240,
2012-10,441.993,
2013-01,129.208,
2013-04,476.768,
2013-07,480.035,
2013-10,462.998,
2014-01,215.497,Provisional value
2014-04,289.480,Provisional value
2014-07,310.611,Provisional value
