"",BBFB1.Q.N.DE.AT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:20,
1991-01,354.419,
1991-04,348.000,
1991-07,362.921,
1991-10,327.133,
1992-01,378.042,
1992-04,457.341,
1992-07,325.960,
1992-10,278.022,
1993-01,272.875,
1993-04,391.478,
1993-07,254.870,
1993-10,253.094,
1994-01,440.042,
1994-04,295.816,
1994-07,305.145,
1994-10,298.941,
1995-01,457.798,
1995-04,315.182,
1995-07,300.120,
1995-10,241.345,
1996-01,373.753,
1996-04,182.400,
1996-07,396.980,
1996-10,266.192,
1997-01,327.596,
1997-04,358.125,
1997-07,425.500,
1997-10,544.569,
1998-01,350.924,
1998-04,391.986,
1998-07,452.122,
1998-10,696.914,
1999-01,604.375,
1999-04,721.394,
1999-07,709.720,
1999-10,876.006,
2000-01,782.686,
2000-04,1041.841,
2000-07,958.208,
2000-10,1349.085,
2001-01,850.052,
2001-04,910.230,
2001-07,894.476,
2001-10,809.610,
2002-01,766.007,
2002-04,818.840,
2002-07,859.123,
2002-10,907.854,
2003-01,872.437,
2003-04,873.110,
2003-07,889.692,
2003-10,916.883,
2004-01,1059.126,
2004-04,1082.653,
2004-07,1144.930,
2004-10,1199.426,
2005-01,1406.678,
2005-04,1451.546,
2005-07,1501.159,
2005-10,1586.386,
2006-01,2188.826,
2006-04,2302.847,
2006-07,2337.752,
2006-10,2431.027,
2007-01,2241.997,
2007-04,2292.654,
2007-07,2138.610,
2007-10,2043.428,
2008-01,2260.008,
2008-04,1873.412,
2008-07,1789.944,
2008-10,2065.388,
2009-01,1944.477,
2009-04,1963.392,
2009-07,1946.569,
2009-10,1988.551,
2010-01,1796.291,
2010-04,1858.574,
2010-07,1902.691,
2010-10,1903.945,
2011-01,2203.483,
2011-04,2285.420,
2011-07,2230.422,
2011-10,2242.690,
2012-01,2265.432,
2012-04,2272.568,
2012-07,2237.131,
2012-10,2275.292,
2013-01,2350.839,
2013-04,2364.577,
2013-07,2307.238,
2013-10,2317.850,
2014-01,2172.173,Provisional value
2014-04,2294.590,Provisional value
2014-07,2218.158,Provisional value
