"",BBFB1.Q.N.DE.B5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:21,
1991-01,2151.530,
1991-04,2250.096,
1991-07,2403.625,
1991-10,2235.075,
1992-01,2467.121,
1992-04,2554.973,
1992-07,2587.893,
1992-10,2649.366,
1993-01,2675.014,
1993-04,2350.971,
1993-07,2268.458,
1993-10,2579.614,
1994-01,2094.968,
1994-04,2061.388,
1994-07,1919.891,
1994-10,2309.651,
1995-01,3008.972,
1995-04,2779.153,
1995-07,2882.607,
1995-10,2855.689,
1996-01,2171.535,
1996-04,2258.966,
1996-07,2596.712,
1996-10,2479.043,
1997-01,2655.527,
1997-04,2811.216,
1997-07,2784.246,
1997-10,2548.454,
1998-01,3238.857,
1998-04,3988.353,
1998-07,3810.315,
1998-10,3630.536,
1999-01,4488.570,
1999-04,5874.946,
1999-07,5500.852,
1999-10,5295.579,
2000-01,5115.482,
2000-04,5696.108,
2000-07,5669.051,
2000-10,5927.902,
2001-01,5084.097,
2001-04,6238.409,
2001-07,6380.513,
2001-10,5388.859,
2002-01,4225.812,
2002-04,5061.402,
2002-07,4973.962,
2002-10,5251.357,
2003-01,5321.215,
2003-04,6796.159,
2003-07,6148.106,
2003-10,5611.699,
2004-01,5559.140,
2004-04,6534.238,
2004-07,5496.083,
2004-10,5373.008,
2005-01,4483.101,
2005-04,6262.298,
2005-07,5149.537,
2005-10,4742.264,
2006-01,6364.141,
2006-04,7881.219,
2006-07,5981.778,
2006-10,5783.152,
2007-01,3951.749,
2007-04,7406.609,
2007-07,4361.811,
2007-10,4104.968,
2008-01,5131.731,
2008-04,7652.280,
2008-07,4551.644,
2008-10,4323.079,
2009-01,4464.820,
2009-04,6639.380,
2009-07,4423.491,
2009-10,4219.353,
2010-01,4694.651,
2010-04,7078.872,
2010-07,5500.422,
2010-10,5586.358,
2011-01,6070.001,
2011-04,9646.777,
2011-07,6954.255,
2011-10,6916.092,
2012-01,8211.755,
2012-04,10603.804,
2012-07,8648.610,
2012-10,8405.144,
2013-01,7861.692,
2013-04,9322.539,
2013-07,8552.093,
2013-10,8253.536,
2014-01,8008.533,Provisional value
2014-04,10952.710,Provisional value
2014-07,8231.039,Provisional value
