"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:57,
1991-01,5.482,
1991-04,5.482,
1991-07,5.482,
1991-10,5.482,
1992-01,-22.422,
1992-04,-22.422,
1992-07,-22.422,
1992-10,-22.422,
1993-01,-11.871,
1993-04,-11.871,
1993-07,-11.871,
1993-10,-38.378,
1994-01,-8.806,
1994-04,-8.806,
1994-07,-8.806,
1994-10,-8.806,
1995-01,-1.345,
1995-04,-1.155,
1995-07,-1.155,
1995-10,-1.155,
1996-01,15.968,
1996-04,16.158,
1996-07,3.676,
1996-10,16.158,
1997-01,4.511,
1997-04,7.669,
1997-07,5.500,
1997-10,7.669,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-30.000,
1999-04,-30.000,
1999-07,-30.000,
1999-10,-38.661,
2000-01,-27.000,
2000-04,-30.000,
2000-07,-30.000,
2000-10,-30.000,
2001-01,-73.791,
2001-04,-95.233,
2001-07,-94.248,
2001-10,-82.791,
2002-01,18.733,
2002-04,2.295,
2002-07,24.228,
2002-10,18.560,
2003-01,313.821,
2003-04,360.965,
2003-07,416.367,
2003-10,464.045,
2004-01,-1945.609,
2004-04,-557.028,
2004-07,-583.932,
2004-10,-804.674,
2005-01,-21.641,
2005-04,-97.246,
2005-07,-62.394,
2005-10,-6.685,
2006-01,-105.212,
2006-04,-186.057,
2006-07,-275.656,
2006-10,-185.560,
2007-01,93.592,
2007-04,-448.508,
2007-07,-9.698,
2007-10,-83.988,
2008-01,92.331,
2008-04,-332.326,
2008-07,-473.746,
2008-10,-193.093,
2009-01,-1.920,
2009-04,-206.353,
2009-07,-142.216,
2009-10,-77.510,
2010-01,-49.830,
2010-04,-318.979,
2010-07,-226.571,
2010-10,-242.633,
2011-01,-532.546,
2011-04,-514.840,
2011-07,-524.055,
2011-10,-727.562,
2012-01,-551.330,
2012-04,-644.296,
2012-07,-618.478,
2012-10,-699.633,
2013-01,-447.427,
2013-04,-431.465,
2013-07,-585.516,
2013-10,-471.694,
2014-01,-413.827,Provisional value
2014-04,-434.007,Provisional value
2014-07,-435.052,Provisional value
2014-10,-451.109,Provisional value
