"",BBFB1.Q.N.DE.GB.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:17,
1991-01,1550.410,
1991-04,1663.283,
1991-07,1790.340,
1991-10,1872.718,
1992-01,2312.422,
1992-04,1494.581,
1992-07,1795.777,
1992-10,1457.182,
1993-01,1966.352,
1993-04,1838.069,
1993-07,2281.346,
1993-10,1602.518,
1994-01,1836.690,
1994-04,1914.196,
1994-07,2072.268,
1994-10,1336.308,
1995-01,1767.130,
1995-04,2285.247,
1995-07,2437.487,
1995-10,1462.512,
1996-01,1960.237,
1996-04,1538.121,
1996-07,1035.551,
1996-10,1271.765,
1997-01,1303.583,
1997-04,1307.751,
1997-07,1746.503,
1997-10,1065.953,
1998-01,854.114,
1998-04,633.773,
1998-07,460.956,
1998-10,-391.611,
1999-01,524.810,
1999-04,-1447.488,
1999-07,-25.067,
1999-10,-1174.404,
2000-01,-2024.019,
2000-04,-3152.424,
2000-07,-2905.411,
2000-10,-2688.841,
2001-01,798.424,
2001-04,1833.208,
2001-07,3242.606,
2001-10,3126.680,
2002-01,2701.477,
2002-04,2282.818,
2002-07,4344.627,
2002-10,3728.958,
2003-01,5589.482,
2003-04,2923.445,
2003-07,5580.079,
2003-10,5836.727,
2004-01,5600.585,
2004-04,4349.115,
2004-07,4795.895,
2004-10,4935.431,
2005-01,4799.994,
2005-04,2328.667,
2005-07,5168.957,
2005-10,1060.183,
2006-01,4118.560,
2006-04,2816.798,
2006-07,5466.050,
2006-10,6490.579,
2007-01,6919.734,
2007-04,1732.659,
2007-07,7858.293,
2007-10,8991.136,
2008-01,6979.612,
2008-04,1753.207,
2008-07,5968.188,
2008-10,4504.569,
2009-01,5810.301,
2009-04,2794.693,
2009-07,7806.746,
2009-10,7164.952,
2010-01,7249.155,
2010-04,5025.903,
2010-07,8802.385,
2010-10,8217.601,
2011-01,8377.728,
2011-04,4395.125,
2011-07,8177.129,
2011-10,9033.407,
2012-01,10302.424,
2012-04,8183.026,
2012-07,12212.914,
2012-10,10139.307,
2013-01,10490.556,
2013-04,9131.486,
2013-07,10720.195,
2013-10,10133.649,
2014-01,12241.395,Provisional value
2014-04,8436.404,Provisional value
2014-07,13639.384,Provisional value
