"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:12,
1991-01,5766.773,
1991-04,-990.225,
1991-07,176.488,
1991-10,-143.375,
1992-01,-944.612,
1992-04,-1193.020,
1992-07,8108.154,
1992-10,2418.635,
1993-01,-1482.968,
1993-04,2555.357,
1993-07,3029.533,
1993-10,5524.358,
1994-01,3898.231,
1994-04,3288.050,
1994-07,290.095,
1994-10,4774.773,
1995-01,8283.940,
1995-04,12917.616,
1995-07,3581.176,
1995-10,-5482.159,
1996-01,-3745.827,
1996-04,4359.719,
1996-07,-10149.131,
1996-10,8255.906,
1997-01,19294.821,
1997-04,7620.880,
1997-07,3342.356,
1997-10,11821.147,
1998-01,13255.142,
1998-04,8774.700,
1998-07,4703.036,
1998-10,6905.639,
1999-01,21812.713,
1999-04,-5783.357,
1999-07,-11246.615,
1999-10,4985.174,
2000-01,52206.995,
2000-04,-7663.556,
2000-07,837.711,
2000-10,16467.248,
2001-01,68922.304,
2001-04,-20535.681,
2001-07,-9911.214,
2001-10,-31036.793,
2002-01,445.621,
2002-04,-14138.384,
2002-07,36257.901,
2002-10,-2866.038,
2003-01,19954.035,
2003-04,-6793.793,
2003-07,4451.141,
2003-10,6949.422,
2004-01,35702.434,
2004-04,-30816.849,
2004-07,22660.714,
2004-10,-5143.680,
2005-01,52778.419,
2005-04,-30227.248,
2005-07,18284.071,
2005-10,-25667.214,
2006-01,54443.840,
2006-04,-6812.179,
2006-07,-5340.994,
2006-10,-26769.567,
2007-01,36570.762,
2007-04,280.662,
2007-07,26837.537,
2007-10,-32554.038,
2008-01,65507.970,
2008-04,-47951.807,
2008-07,32869.284,
2008-10,-29745.512,
2009-01,-36987.003,
2009-04,13038.305,
2009-07,-42313.212,
2009-10,-17673.962,
2010-01,36560.990,
2010-04,41684.316,
2010-07,3408.026,
2010-10,16850.054,
2011-01,-20585.886,
2011-04,-18499.945,
2011-07,68639.954,
2011-10,-71120.120,
2012-01,163942.544,
2012-04,-41618.628,
2012-07,-32303.248,
2012-10,-66495.167,
2013-01,-50684.583,
2013-04,-14008.914,
2013-07,-37885.970,
2013-10,-16203.935,
2014-01,13163.623,Provisional value
2014-04,-21836.459,Provisional value
2014-07,5666.639,Provisional value
2014-10,-17994.562,Provisional value
