"",BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:16,
1991-01,64.467,
1991-04,-20.010,
1991-07,328.233,
1991-10,-346.475,
1992-01,45.032,
1992-04,535.942,
1992-07,189.320,
1992-10,1227.835,
1993-01,1331.884,
1993-04,2262.940,
1993-07,-127.044,
1993-10,529.884,
1994-01,-978.152,
1994-04,525.120,
1994-07,764.302,
1994-10,963.071,
1995-01,44.843,
1995-04,2274.767,
1995-07,790.885,
1995-10,224.760,
1996-01,515.159,
1996-04,2605.546,
1996-07,720.780,
1996-10,3456.206,
1997-01,1262.994,
1997-04,1928.273,
1997-07,3127.088,
1997-10,630.147,
1998-01,2037.026,
1998-04,3929.537,
1998-07,-1973.066,
1998-10,2805.005,
1999-01,-1801.870,
1999-04,3103.315,
1999-07,1471.148,
1999-10,1948.646,
2000-01,-5157.652,
2000-04,10947.509,
2000-07,3951.427,
2000-10,6195.420,
2001-01,4725.847,
2001-04,9531.548,
2001-07,2322.942,
2001-10,4694.112,
2002-01,10576.836,
2002-04,9285.050,
2002-07,3261.457,
2002-10,5576.970,
2003-01,3075.818,
2003-04,-146.937,
2003-07,7028.769,
2003-10,1764.424,
2004-01,-2442.950,
2004-04,-4655.545,
2004-07,2960.302,
2004-10,3459.545,
2005-01,-468.493,
2005-04,-7584.181,
2005-07,201.296,
2005-10,1490.973,
2006-01,696.215,
2006-04,2981.575,
2006-07,4874.221,
2006-10,3265.754,
2007-01,3765.028,
2007-04,-456.891,
2007-07,745.921,
2007-10,3073.663,
2008-01,-1037.852,
2008-04,-11696.210,
2008-07,6046.653,
2008-10,-4927.093,
2009-01,2936.166,
2009-04,5747.965,
2009-07,3718.516,
2009-10,2871.256,
2010-01,4187.142,
2010-04,-599.668,
2010-07,4533.584,
2010-10,1943.647,
2011-01,7991.427,
2011-04,-5532.023,
2011-07,3552.274,
2011-10,17307.915,
2012-01,14196.661,
2012-04,15002.626,
2012-07,16082.093,
2012-10,12166.490,
2013-01,15987.907,
2013-04,11488.422,
2013-07,11713.817,
2013-10,14197.809,
2014-01,15320.649,Provisional value
2014-04,13193.234,Provisional value
2014-07,14216.001,Provisional value
2014-10,16987.386,Provisional value
