"",BBFB1.Q.N.DE.S3.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:41,
1991-01,-150.093,
1991-04,-205.952,
1991-07,-152.535,
1991-10,-120.950,
1992-01,-100.866,
1992-04,-160.974,
1992-07,-46.078,
1992-10,-24.767,
1993-01,-120.814,
1993-04,-150.444,
1993-07,-115.014,
1993-10,-103.813,
1994-01,-101.100,
1994-04,-140.619,
1994-07,-79.505,
1994-10,-23.386,
1995-01,-52.364,
1995-04,-102.491,
1995-07,-37.142,
1995-10,-23.188,
1996-01,-16.721,
1996-04,-28.015,
1996-07,-26.325,
1996-10,-26.942,
1997-01,-54.903,
1997-04,-143.316,
1997-07,-117.332,
1997-10,-80.429,
1998-01,-77.756,
1998-04,-857.351,
1998-07,-100.682,
1998-10,-102.773,
1999-01,-169.041,
1999-04,-312.330,
1999-07,-88.211,
1999-10,-68.478,
2000-01,20.005,
2000-04,-219.473,
2000-07,-70.335,
2000-10,-63.906,
2001-01,3.597,
2001-04,-166.679,
2001-07,-30.436,
2001-10,-36.227,
2002-01,-99.208,
2002-04,-165.015,
2002-07,-49.479,
2002-10,-77.408,
2003-01,-47.813,
2003-04,-145.543,
2003-07,-28.805,
2003-10,19.476,
2004-01,57.486,
2004-04,-82.310,
2004-07,13.592,
2004-10,7.657,
2005-01,6.521,
2005-04,-105.908,
2005-07,85.811,
2005-10,84.669,
2006-01,72.324,
2006-04,17.765,
2006-07,27.407,
2006-10,114.532,
2007-01,16.588,
2007-04,152.792,
2007-07,151.001,
2007-10,215.893,
2008-01,142.526,
2008-04,119.236,
2008-07,461.121,
2008-10,360.414,
2009-01,202.102,
2009-04,245.451,
2009-07,287.355,
2009-10,323.260,
2010-01,249.669,
2010-04,318.465,
2010-07,254.535,
2010-10,309.968,
2011-01,272.910,
2011-04,258.222,
2011-07,300.878,
2011-10,291.696,
2012-01,254.877,
2012-04,216.150,
2012-07,252.511,
2012-10,292.691,
2013-01,127.456,
2013-04,42.994,
2013-07,95.978,
2013-10,384.496,
2014-01,75.200,Provisional value
2014-04,-15.839,Provisional value
2014-07,71.946,Provisional value
