"",BBFB1.Q.N.DE.S6.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:43,
1991-01,6259.287,
1991-04,6278.783,
1991-07,7207.444,
1991-10,7664.008,
1992-01,7122.811,
1992-04,6664.667,
1992-07,7147.987,
1992-10,8053.611,
1993-01,7531.652,
1993-04,7583.221,
1993-07,8040.404,
1993-10,9457.286,
1994-01,8342.439,
1994-04,9413.962,
1994-07,9555.608,
1994-10,9942.768,
1995-01,9611.802,
1995-04,9049.016,
1995-07,9240.305,
1995-10,10831.318,
1996-01,10279.910,
1996-04,10095.888,
1996-07,10768.053,
1996-10,11911.414,
1997-01,10265.608,
1997-04,11338.102,
1997-07,11964.616,
1997-10,11599.402,
1998-01,9645.091,
1998-04,8961.300,
1998-07,8755.125,
1998-10,8504.384,
1999-01,8176.357,
1999-04,9486.178,
1999-07,9925.726,
1999-10,10876.584,
2000-01,10034.415,
2000-04,11428.265,
2000-07,12687.235,
2000-10,12995.132,
2001-01,12329.635,
2001-04,13077.960,
2001-07,12854.719,
2001-10,12876.043,
2002-01,12866.757,
2002-04,14182.561,
2002-07,14865.225,
2002-10,14446.379,
2003-01,13501.237,
2003-04,14329.465,
2003-07,16283.982,
2003-10,15329.427,
2004-01,16347.397,
2004-04,17100.068,
2004-07,16660.409,
2004-10,16606.275,
2005-01,16145.998,
2005-04,16605.449,
2005-07,18705.667,
2005-10,17441.016,
2006-01,18803.760,
2006-04,18055.391,
2006-07,20811.580,
2006-10,22408.697,
2007-01,20745.206,
2007-04,20660.996,
2007-07,22405.384,
2007-10,23344.062,
2008-01,23239.525,
2008-04,24135.332,
2008-07,23923.522,
2008-10,23133.497,
2009-01,19310.433,
2009-04,21121.583,
2009-07,24621.460,
2009-10,27430.588,
2010-01,27110.675,
2010-04,29966.919,
2010-07,31720.269,
2010-10,34132.393,
2011-01,34423.557,
2011-04,34423.539,
2011-07,36505.561,
2011-10,37770.019,
2012-01,37035.221,
2012-04,38650.560,
2012-07,38437.863,
2012-10,37630.983,
2013-01,35732.104,
2013-04,37494.017,
2013-07,39217.679,
2013-10,38754.862,
2014-01,36830.259,Provisional value
2014-04,38774.079,Provisional value
2014-07,41788.205,Provisional value
