"",BBFB1.Q.N.DE.U3.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:03,
1991-01,9719.242,
1991-04,9996.394,
1991-07,10027.741,
1991-10,10827.525,
1992-01,10363.594,
1992-04,10382.291,
1992-07,10097.288,
1992-10,10937.005,
1993-01,8365.288,
1993-04,8854.686,
1993-07,8571.999,
1993-10,9504.323,
1994-01,9240.341,
1994-04,9877.114,
1994-07,9918.455,
1994-10,11264.983,
1995-01,11266.799,
1995-04,11621.464,
1995-07,11130.037,
1995-10,12051.478,
1996-01,11799.544,
1996-04,11876.267,
1996-07,11984.805,
1996-10,13552.023,
1997-01,12879.930,
1997-04,13454.693,
1997-07,14159.167,
1997-10,15801.758,
1998-01,15275.665,
1998-04,15097.649,
1998-07,15220.347,
1998-10,16190.793,
1999-01,15195.900,
1999-04,17054.512,
1999-07,17099.965,
1999-10,18788.307,
2000-01,19542.249,
2000-04,19967.575,
2000-07,20587.298,
2000-10,23436.520,
2001-01,21474.401,
2001-04,21825.915,
2001-07,21316.261,
2001-10,22795.267,
2002-01,20293.281,
2002-04,22112.087,
2002-07,21115.753,
2002-10,22854.888,
2003-01,22318.238,
2003-04,22057.556,
2003-07,21048.177,
2003-10,23963.897,
2004-01,23042.464,
2004-04,22972.974,
2004-07,23028.190,
2004-10,25752.679,
2005-01,23994.511,
2005-04,26449.281,
2005-07,26554.932,
2005-10,29151.596,
2006-01,28820.467,
2006-04,29427.893,
2006-07,30223.928,
2006-10,32659.828,
2007-01,32288.415,
2007-04,33797.969,
2007-07,33178.512,
2007-10,34561.302,
2008-01,34080.067,
2008-04,35716.076,
2008-07,35175.360,
2008-10,32904.549,
2009-01,28093.113,
2009-04,28019.291,
2009-07,29271.148,
2009-10,30912.667,
2010-01,31611.527,
2010-04,34192.107,
2010-07,34607.324,
2010-10,37798.146,
2011-01,38867.651,
2011-04,39845.011,
2011-07,40155.344,
2011-10,40777.487,
2012-01,40391.642,
2012-04,39486.698,
2012-07,38627.737,
2012-10,39768.224,
2013-01,40508.122,
2013-04,40900.787,
2013-07,41361.033,
2013-10,43777.475,
2014-01,44019.811,Provisional value
2014-04,44282.233,Provisional value
2014-07,43315.990,Provisional value
