"",BBFB1.Q.N.DE.US.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:50,
1991-01,394.265,
1991-04,449.273,
1991-07,253.801,
1991-10,476.750,
1992-01,127.822,
1992-04,605.259,
1992-07,596.003,
1992-10,616.218,
1993-01,596.402,
1993-04,646.003,
1993-07,667.534,
1993-10,681.367,
1994-01,1287.939,
1994-04,1211.950,
1994-07,1213.434,
1994-10,1230.674,
1995-01,255.171,
1995-04,272.136,
1995-07,177.342,
1995-10,247.632,
1996-01,1089.511,
1996-04,1149.916,
1996-07,1187.552,
1996-10,1249.317,
1997-01,1532.872,
1997-04,1646.089,
1997-07,1517.459,
1997-10,1609.683,
1998-01,348.422,
1998-04,488.940,
1998-07,330.762,
1998-10,390.776,
1999-01,628.218,
1999-04,730.717,
1999-07,701.489,
1999-10,772.759,
2000-01,901.905,
2000-04,1098.982,
2000-07,1097.116,
2000-10,1503.410,
2001-01,1320.911,
2001-04,1670.167,
2001-07,1553.500,
2001-10,1466.144,
2002-01,3928.871,
2002-04,4072.988,
2002-07,4048.716,
2002-10,4347.794,
2003-01,2650.449,
2003-04,2904.849,
2003-07,2481.803,
2003-10,2312.241,
2004-01,1186.008,
2004-04,1178.419,
2004-07,960.895,
2004-10,968.717,
2005-01,1293.246,
2005-04,1417.935,
2005-07,1309.213,
2005-10,1279.250,
2006-01,359.246,
2006-04,696.460,
2006-07,272.078,
2006-10,270.623,
2007-01,1673.726,
2007-04,2575.019,
2007-07,1649.206,
2007-10,1602.213,
2008-01,869.444,
2008-04,1705.370,
2008-07,674.206,
2008-10,604.414,
2009-01,1138.182,
2009-04,1512.327,
2009-07,643.348,
2009-10,776.325,
2010-01,803.793,
2010-04,1600.709,
2010-07,951.968,
2010-10,942.278,
2011-01,1360.823,
2011-04,2255.358,
2011-07,1381.829,
2011-10,1313.820,
2012-01,953.935,
2012-04,1989.388,
2012-07,1087.344,
2012-10,766.493,
2013-01,992.249,
2013-04,1787.208,
2013-07,949.507,
2013-10,920.338,
2014-01,1848.888,Provisional value
2014-04,2455.393,Provisional value
2014-07,1753.413,Provisional value
