"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:03,
1991-01,226.774,
1991-04,374.668,
1991-07,410.372,
1991-10,162.301,
1992-01,-1026.812,
1992-04,-1079.090,
1992-07,-1014.396,
1992-10,-1727.356,
1993-01,-833.295,
1993-04,-912.539,
1993-07,-869.345,
1993-10,-1349.580,
1994-01,-251.768,
1994-04,-431.431,
1994-07,-366.397,
1994-10,-574.313,
1995-01,-506.281,
1995-04,-709.301,
1995-07,-539.331,
1995-10,-937.359,
1996-01,-1271.146,
1996-04,-1361.149,
1996-07,-1039.419,
1996-10,-1897.984,
1997-01,-194.189,
1997-04,-458.942,
1997-07,-192.835,
1997-10,-532.952,
1998-01,-171.974,
1998-04,-389.857,
1998-07,-462.425,
1998-10,-256.177,
1999-01,-1438.223,
1999-04,-1325.293,
1999-07,-1375.824,
1999-10,-1650.135,
2000-01,-1916.339,
2000-04,-1646.427,
2000-07,-1556.547,
2000-10,-1763.913,
2001-01,-4627.831,
2001-04,-7299.776,
2001-07,-4211.297,
2001-10,-5113.502,
2002-01,-904.340,
2002-04,-2289.174,
2002-07,-282.369,
2002-10,-3514.330,
2003-01,880.340,
2003-04,-3998.957,
2003-07,-144.590,
2003-10,-71.175,
2004-01,-2472.597,
2004-04,-1344.604,
2004-07,270.363,
2004-10,-539.132,
2005-01,1955.396,
2005-04,-642.788,
2005-07,1419.467,
2005-10,533.774,
2006-01,1044.851,
2006-04,-2161.776,
2006-07,1632.964,
2006-10,-884.006,
2007-01,5913.893,
2007-04,-2194.813,
2007-07,2303.043,
2007-10,-547.951,
2008-01,-1500.872,
2008-04,-7416.882,
2008-07,-7548.914,
2008-10,-6053.878,
2009-01,-2191.957,
2009-04,-3814.686,
2009-07,-1764.246,
2009-10,-3646.154,
2010-01,2910.024,
2010-04,-2414.874,
2010-07,3648.928,
2010-10,-572.031,
2011-01,2945.715,
2011-04,-2420.658,
2011-07,-687.628,
2011-10,-538.234,
2012-01,2554.821,
2012-04,18.225,
2012-07,2045.585,
2012-10,1419.985,
2013-01,3906.563,
2013-04,-1203.438,
2013-07,688.471,
2013-10,188.122,
2014-01,3601.074,Provisional value
2014-04,712.426,Provisional value
2014-07,2925.732,Provisional value
2014-10,1195.815,Provisional value
