"",BBFI1.M.N.DE.W0.S121.S1.FP.FN.RT1.RT.FR8.TS.X1.N.N,BBFI1.M.N.DE.W0.S121.S1.FP.FN.RT1.RT.FR8.TS.X1.N.N_FLAGS
"","Reserve template (mthly.) - Other (flows related to repos and reverse repos, trade credits and other accounts payable/receivable) - Future Flows, predetermined",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:17,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,-,Nothing exists
2001-08,-,Nothing exists
2001-09,-1825,
2001-10,-3813,
2001-11,-4113,
2001-12,-1415,
2002-01,-3377,
2002-02,-3224,
2002-03,-3025,
2002-04,-2328,
2002-05,-1415,
2002-06,-2257,
2002-07,-3051,
2002-08,-2314,
2002-09,-2754,
2002-10,-2411,
2002-11,-3130,
2002-12,-1843,
2003-01,-2072,
2003-02,-2352,
2003-03,-3438,
2003-04,-1952,
2003-05,-2475,
2003-06,-3176,
2003-07,-3071,
2003-08,-3694,
2003-09,-3605,
2003-10,-3906,
2003-11,-3110,
2003-12,-2782,
2004-01,-3198,
2004-02,-3075,
2004-03,-3050,
2004-04,-3449,
2004-05,-2703,
2004-06,-3411,
2004-07,-2627,
2004-08,-1984,
2004-09,-2029,
2004-10,-1240,
2004-11,-1328,
2004-12,-1990,
2005-01,-2757,
2005-02,-2155,
2005-03,-3021,
2005-04,-2685,
2005-05,-2743,
2005-06,-2537,
2005-07,-3029,
2005-08,-2020,
2005-09,-4113,
2005-10,-3993,
2005-11,-3008,
2005-12,-2832,
2006-01,-2937,
2006-02,-2114,
2006-03,-2476,
2006-04,-999,
2006-05,-2268,
2006-06,-2064,
2006-07,-2583,
2006-08,-1731,
2006-09,-1328,
2006-10,-1321,
2006-11,-1382,
2006-12,-1059,
2007-01,-1641,
2007-02,-1219,
2007-03,-1308,
2007-04,-2504,
2007-05,-2994,
2007-06,-2312,
2007-07,-2199,
2007-08,-2193,
2007-09,-2575,
2007-10,-2296,
2007-11,-1938,
2007-12,-1951,
2008-01,-2572,
2008-02,-2951,
2008-03,-3260,
2008-04,-4417,
2008-05,-3259,
2008-06,-3887,
2008-07,-3016,
2008-08,-2612,
2008-09,-2061,
2008-10,-3084,
2008-11,-2318,
2008-12,-1478,
2009-01,-198,
2009-02,-296,
2009-03,-,Nothing exists
2009-04,-206,
2009-05,-470,
2009-06,-772,
2009-07,-1215,
2009-08,-910,
2009-09,-76,
2009-10,-544,
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,-232,
2010-02,-294,
2010-03,-147,
2010-04,-293,
2010-05,-188,
2010-06,-244,
2010-07,-308,
2010-08,-434,
2010-09,-146,
2010-10,-104,
2010-11,-253,
2010-12,-159,
2011-01,-146,
2011-02,-105,
2011-03,-209,
2011-04,-271,
2011-05,-238,
2011-06,-69,
2011-07,-154,
2011-08,-103,
2011-09,-226,
2011-10,-204,
2011-11,-,Nothing exists
2011-12,-,Nothing exists
2012-01,-,Nothing exists
2012-02,-253,
2012-03,-158,
2012-04,-396,
2012-05,-464,
2012-06,-160,
2012-07,-,Nothing exists
2012-08,-258,
2012-09,-,Nothing exists
2012-10,-171,
2012-11,-259,
2012-12,-76,
2013-01,-508,
2013-02,-712,
2013-03,-566,
2013-04,-603,
2013-05,-615,
2013-06,-717,
2013-07,-142,
2013-08,-683,
2013-09,-183,
2013-10,-97,
2013-11,-677,
2013-12,-37,
2014-01,-784,
2014-02,-591,
2014-03,-1306,
2014-04,-968,
2014-05,-506,
2014-06,-675,
2014-07,-984,
2014-08,-1439,
2014-09,-1066,
2014-10,-1430,
2014-11,-1640,
2014-12,-788,
2015-01,-1408,
