"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F511._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F511._Z._T.M.N_FLAGS
"",IIP - Direct investment - Listed shares - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:37,
1999-10,-,Nothing exists
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-,Nothing exists
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-,Nothing exists
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-,Nothing exists
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,19102,
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-,Nothing exists
2005-10,42958,
2006-01,46240,
2006-04,48430,
2006-07,53163,
2006-10,66028,
2007-01,69434,
2007-04,76831,
2007-07,81618,
2007-10,85358,
2008-01,77550,
2008-04,75927,
2008-07,74639,
2008-10,29995,
2009-01,29628,
2009-04,31646,
2009-07,35948,
2009-10,25505,
2010-01,25208,
2010-04,27687,
2010-07,28296,
2010-10,31290,
2011-01,25516,
2011-04,26109,
2011-07,23908,
2011-10,20113,
2012-01,21145,
2012-04,21015,
2012-07,21422,
2012-10,29208,
2013-01,31325,
2013-04,30466,
2013-07,32357,
2013-10,33589,
2014-01,32645,
2014-04,32572,
2014-07,30816,
