"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F._Z._T._X.N_FLAGS
"",IIP - Direct investment - Net (Assets minus Liabilities) - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:52,
1999-10,121861,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,25966,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,152329,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,70040,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,43022,
2004-01,67899,
2004-04,72260,
2004-07,75784,
2004-10,70046,
2005-01,97286,
2005-04,124274,
2005-07,135831,
2005-10,155596,
2006-01,167805,
2006-04,162650,
2006-07,186959,
2006-10,156458,
2007-01,179718,
2007-04,199325,
2007-07,192007,
2007-10,202666,
2008-01,214716,
2008-04,228973,
2008-07,246343,
2008-10,231634,
2009-01,230680,
2009-04,236321,
2009-07,237212,
2009-10,272739,
2010-01,323614,
2010-04,374444,
2010-07,330645,
2010-10,317620,
2011-01,325159,
2011-04,320889,
2011-07,329258,
2011-10,343278,
2012-01,371416,
2012-04,376580,
2012-07,380701,
2012-10,360032,
2013-01,382775,
2013-04,379239,
2013-07,383414,
2013-10,369379,
2014-01,392709,
2014-04,411129,
2014-07,456180,
