"",BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Assets - Positions - resident holder: Central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:55,
1999-10,-,Nothing exists
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-,Nothing exists
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-,Nothing exists
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,166,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,454,
2004-01,453,
2004-04,475,
2004-07,650,
2004-10,665,
2005-01,696,
2005-04,861,
2005-07,878,
2005-10,902,
2006-01,831,
2006-04,862,
2006-07,911,
2006-10,928,
2007-01,1027,
2007-04,941,
2007-07,1876,
2007-10,2527,
2008-01,2584,
2008-04,2492,
2008-07,2625,
2008-10,2570,
2009-01,2616,
2009-04,2642,
2009-07,6225,
2009-10,7458,
2010-01,9778,
2010-04,22659,
2010-07,23544,
2010-10,24562,
2011-01,24780,
2011-04,22794,
2011-07,43061,
2011-10,54065,
2012-01,60877,
2012-04,60842,
2012-07,62999,
2012-10,63700,
2013-01,62445,
2013-04,59589,
2013-07,56873,
2013-10,54834,
2014-01,54440,
2014-04,50874,
2014-07,48087,
