"",BBFI1.Q.N.DE.W1.S12T.S1.K7A.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.K7A.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Revaluations due to exchange rate changes - resident issuer: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:13,
2013-01,7012,
2013-04,-7544,
2013-07,-9959,
2013-10,-5073,
2014-01,90,
2014-04,2257,
2014-07,20460,
