"",BBFI1.Q.N.DE.W1.S1V.S1.LE.A.FA.O.F4.S._T.N.N,BBFI1.Q.N.DE.W1.S1V.S1.LE.A.FA.O.F4.S._T.N.N_FLAGS
"","IIP - Other Investment - Loans - Non financial corporations, households and NPISH - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:07:53,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,.,No value available
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,.,No value available
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,.,No value available
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,.,No value available
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,3659,
2013-01,3294,
2013-04,3427,
2013-07,5830,
2013-10,4910,
2014-01,4652,
2014-04,5893,
2014-07,5333,
