"",BBFN1.M.DE.N.1.A.CH.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:04,
1971-12,0.234,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.232,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.236,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.251,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.271,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,0.276,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,0.418,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,0.293,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.427,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.275,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.335,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,0.422,
1982-10,0.420,
1982-11,0.421,
1982-12,0.482,
1983-01,0.467,
1983-02,0.468,
1983-03,0.491,
1983-04,0.476,
1983-05,0.478,
1983-06,0.487,
1983-07,0.484,
1983-08,0.487,
1983-09,0.482,
1983-10,0.469,
1983-11,0.479,
1983-12,0.472,
1984-01,0.466,
1984-02,0.459,
1984-03,0.467,
1984-04,0.469,
1984-05,0.481,
1984-06,0.478,
1984-07,0.479,
1984-08,0.470,
1984-09,0.461,
1984-10,0.459,
1984-11,0.492,
1984-12,0.488,
1985-01,0.473,
1985-02,0.471,
1985-03,0.465,
1985-04,0.466,
1985-05,0.464,
1985-06,0.431,
1985-07,0.433,
1985-08,0.439,
1985-09,0.445,
1985-10,0.409,
1985-11,0.414,
1985-12,0.425,
1986-01,0.439,
1986-02,0.459,
1986-03,0.465,
1986-04,0.508,
1986-05,0.537,
1986-06,0.532,
1986-07,0.535,
1986-08,0.550,
1986-09,0.553,
1986-10,0.534,
1986-11,0.539,
1986-12,0.528,
1987-01,0.500,
1987-02,0.507,
1987-03,0.522,
1987-04,0.495,
1987-05,0.496,
1987-06,0.503,
1987-07,0.504,
1987-08,0.513,
1987-09,0.512,
1987-10,0.510,
1987-11,0.513,
1987-12,0.480,
1988-01,0.516,
1988-02,0.632,
1988-03,0.697,
1988-04,0.680,
1988-05,0.790,
1988-06,0.785,
1988-07,0.654,
1988-08,0.673,
1988-09,0.627,
1988-10,0.535,
1988-11,0.551,
1988-12,0.556,
1989-01,0.567,
1989-02,0.579,
1989-03,0.607,
1989-04,0.610,
1989-05,0.613,
1989-06,0.619,
1989-07,0.585,
1989-08,0.582,
1989-09,0.593,
1989-10,0.598,
1989-11,0.593,
1989-12,0.549,
1990-01,0.516,
1990-02,0.508,
1990-03,0.492,
1990-04,0.494,
1990-05,0.498,
1990-06,0.504,
1990-07,0.505,
1990-08,0.542,
1990-09,0.541,
1990-10,0.528,
1990-11,0.526,
1990-12,0.546,
1991-01,0.548,
1991-02,0.533,
1991-03,0.546,
1991-04,0.547,
1991-05,0.540,
1991-06,0.531,
1991-07,0.486,
1991-08,0.496,
1991-09,0.497,
1991-10,0.495,
1991-11,0.492,
1991-12,0.546,
1992-01,0.567,
1992-02,0.560,
1992-03,0.560,
1992-04,0.565,
1992-05,0.642,
1992-06,0.638,
1992-07,0.623,
1992-08,0.627,
1992-09,0.631,
1992-10,0.682,
1992-11,0.683,
1992-12,0.619,
1993-01,0.620,
1993-02,0.616,
1993-03,0.618,
1993-04,0.651,
1993-05,0.698,
1993-06,0.690,
1993-07,0.676,
1993-08,0.656,
1993-09,0.627,
1993-10,0.617,
1993-11,0.631,
1993-12,0.643,
1994-01,0.629,
1994-02,0.655,
1994-03,0.646,
1994-04,0.648,
1994-05,0.647,
1994-06,0.661,
1994-07,0.714,
1994-08,0.706,
1994-09,0.717,
1994-10,0.735,
1994-11,0.772,
1994-12,0.761,
1995-01,0.668,
1995-02,0.664,
1995-03,0.628,
1995-04,0.635,
1995-05,0.638,
1995-06,0.593,
1995-07,0.590,
1995-08,0.586,
1995-09,0.563,
1995-10,0.579,
1995-11,0.565,
1995-12,0.512,
1996-01,0.483,
1996-02,0.488,
1996-03,0.491,
1996-04,0.477,
1996-05,0.524,
1996-06,0.514,
1996-07,0.494,
1996-08,0.515,
1996-09,0.505,
1996-10,0.502,
1996-11,0.562,
1996-12,0.551,
1997-01,0.568,
1997-02,0.548,
1997-03,0.531,
1997-04,0.508,
1997-05,0.499,
1997-06,0.499,
1997-07,0.501,
1997-08,0.485,
1997-09,0.479,
1997-10,0.477,
1997-11,0.425,
1997-12,0.443,
1998-01,0.444,
1998-02,0.440,
1998-03,0.443,
1998-04,0.490,
1998-05,0.502,
1998-06,0.497,
1998-07,0.500,
1998-08,0.505,
1998-09,0.520,
1998-10,0.517,
1998-11,0.523,
1998-12,0.573,
1999-01,0.533,
1999-02,0.582,
1999-03,0.599,
1999-04,0.675,
1999-05,0.690,
1999-06,0.709,
1999-07,0.779,
1999-08,0.766,
1999-09,0.722,
1999-10,0.772,
1999-11,0.805,
1999-12,0.710,
2000-01,0.705,
2000-02,0.713,
2000-03,0.677,
2000-04,0.656,
2000-05,0.636,
2000-06,0.759,
2000-07,0.764,
2000-08,0.774,
2000-09,0.741,
2000-10,0.844,
2000-11,0.842,
2000-12,0.854,
2001-01,0.791,
2001-02,0.812,
2001-03,0.872,
2001-04,0.866,
2001-05,0.881,
2001-06,0.878,
