"",BBFN1.M.DE.N.1.A.E1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.E1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:38,
1995-01,48.009,
1995-02,48.335,
1995-03,50.052,
1995-04,50.081,
1995-05,50.412,
1995-06,51.235,
1995-07,49.430,
1995-08,48.547,
1995-09,50.143,
1995-10,49.702,
1995-11,51.254,
1995-12,46.986,
1996-01,46.690,
1996-02,47.433,
1996-03,48.777,
1996-04,48.507,
1996-05,48.689,
1996-06,49.376,
1996-07,48.383,
1996-08,46.527,
1996-09,48.703,
1996-10,49.313,
1996-11,51.158,
1996-12,49.169,
1997-01,49.053,
1997-02,50.002,
1997-03,51.852,
1997-04,52.894,
1997-05,52.620,
1997-06,54.087,
1997-07,53.007,
1997-08,51.137,
1997-09,53.834,
1997-10,56.141,
1997-11,57.653,
1997-12,54.799,
1998-01,54.822,
1998-02,57.094,
1998-03,58.978,
1998-04,59.672,
1998-05,59.953,
1998-06,60.415,
1998-07,59.430,
1998-08,56.866,
1998-09,58.857,
1998-10,59.710,
1998-11,60.172,
1998-12,57.186,
1999-01,56.377,
1999-02,57.557,
1999-03,60.340,
1999-04,59.575,
1999-05,60.184,
1999-06,61.989,
1999-07,60.522,
1999-08,59.392,
1999-09,62.069,
1999-10,64.380,
1999-11,65.971,
1999-12,63.520,
2000-01,63.752,
2000-02,66.631,
2000-03,69.826,
2000-04,69.792,
2000-05,70.715,
2000-06,71.590,
2000-07,70.446,
2000-08,70.193,
2000-09,72.815,
2000-10,74.739,
2000-11,76.528,
2000-12,73.588,
2001-01,73.835,
2001-02,74.646,
2001-03,76.914,
2001-04,75.363,
2001-05,76.138,
2001-06,77.186,
2001-07,75.024,
2001-08,73.435,
2001-09,75.733,
2001-10,76.516,
2001-11,77.105,
2001-12,73.161,
2002-01,72.109,
2002-02,72.405,
2002-03,70.580,
2002-04,71.371,
2002-05,70.421,
2002-06,73.054,
2002-07,70.065,
2002-08,67.529,
2002-09,70.030,
2002-10,71.533,
2002-11,72.416,
2002-12,69.048,
2003-01,69.339,
2003-02,69.521,
2003-03,71.847,
2003-04,72.079,
2003-05,70.203,
2003-06,71.192,
2003-07,69.355,
2003-08,67.210,
2003-09,69.535,
2003-10,71.114,
2003-11,74.056,
2003-12,69.622,
2004-01,68.282,
2004-02,70.150,
2004-03,73.685,
2004-04,72.437,
2004-05,73.489,
2004-06,76.027,
2004-07,73.374,
2004-08,70.034,
2004-09,73.476,
2004-10,76.056,
2004-11,78.593,
2004-12,73.304,
2005-01,72.698,
2005-02,73.230,
2005-03,77.014,
2005-04,76.611,
2005-05,76.122,
2005-06,79.022,
2005-07,78.163,
2005-08,74.840,
2005-09,79.861,
2005-10,81.014,
2005-11,83.823,
2005-12,80.466,
2006-01,81.800,
2006-02,83.169,
2006-03,86.447,
2006-04,85.004,
2006-05,84.803,
2006-06,86.752,
2006-07,84.177,
2006-08,81.319,
2006-09,86.910,
2006-10,88.153,
2006-11,92.221,
2006-12,88.082,
2007-01,89.393,
2007-02,91.265,
2007-03,94.544,
2007-04,92.165,
2007-05,92.435,
2007-06,94.983,
2007-07,91.150,
2007-08,88.249,
2007-09,92.684,
2007-10,94.924,
2007-11,97.120,
2007-12,91.474,
2008-01,91.901,
2008-02,95.814,
2008-03,98.503,
2008-04,99.813,
2008-05,100.570,
2008-06,102.155,
2008-07,99.292,
2008-08,95.455,
2008-09,99.075,
2008-10,99.473,
2008-11,98.601,
2008-12,91.528,
2009-01,86.789,
2009-02,87.569,
2009-03,88.555,
2009-04,83.427,
2009-05,85.736,
2009-06,89.238,
2009-07,87.386,
2009-08,82.233,
2009-09,84.981,
2009-10,86.989,
2009-11,90.039,
2009-12,84.079,
2010-01,76.828,
2010-02,77.864,
2010-03,84.657,
2010-04,82.706,
2010-05,84.845,
2010-06,88.337,
2010-07,86.190,
2010-08,83.590,
2010-09,88.704,
2010-10,90.363,
2010-11,90.356,
2010-12,86.601,
2011-01,85.758,
2011-02,91.187,
2011-03,93.345,
2011-04,91.910,
2011-05,93.301,
2011-06,94.898,
2011-07,92.434,
2011-08,88.175,
2011-09,94.649,
2011-10,95.068,
2011-11,96.664,
2011-12,93.603,
2012-01,91.857,
2012-02,94.830,
2012-03,99.603,
2012-04,94.812,
2012-05,93.990,
2012-06,98.365,
2012-07,95.908,
2012-08,91.042,
2012-09,95.193,
2012-10,95.984,
2012-11,98.832,
2012-12,91.372,
2013-01,90.906,
2013-02,93.063,
2013-03,97.998,
2013-04,95.286,
2013-05,91.460,
2013-06,95.076,
2013-07,89.519,
2013-08,89.649,
2013-09,95.442,
2013-10,96.047,
2013-11,100.169,
2013-12,93.951,
2014-01,92.599,
2014-02,94.002,
2014-03,98.908,
2014-04,96.707,
2014-05,95.026,
2014-06,98.497,
2014-07,95.392,
2014-08,92.774,
2014-09,97.931,
2014-10,97.715,
2014-11,100.550,
2014-12,95.280,
