"",BBFN1.M.DE.N.1.A.GR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:18,
1982-09,0.050,
1982-10,0.046,
1982-11,0.047,
1982-12,0.047,
1983-01,0.046,
1983-02,0.046,
1983-03,0.048,
1983-04,0.048,
1983-05,0.047,
1983-06,0.053,
1983-07,0.051,
1983-08,0.057,
1983-09,0.056,
1983-10,0.057,
1983-11,0.070,
1983-12,0.054,
1984-01,0.057,
1984-02,0.062,
1984-03,0.062,
1984-04,0.061,
1984-05,0.060,
1984-06,0.063,
1984-07,0.061,
1984-08,0.064,
1984-09,0.061,
1984-10,0.057,
1984-11,0.065,
1984-12,0.051,
1985-01,0.050,
1985-02,0.051,
1985-03,0.052,
1985-04,0.058,
1985-05,0.059,
1985-06,0.059,
1985-07,0.061,
1985-08,0.061,
1985-09,0.058,
1985-10,0.052,
1985-11,0.054,
1985-12,0.054,
1986-01,0.049,
1986-02,0.045,
1986-03,0.064,
1986-04,0.067,
1986-05,0.079,
1986-06,0.075,
1986-07,0.074,
1986-08,0.080,
1986-09,0.080,
1986-10,0.078,
1986-11,0.081,
1986-12,0.074,
1987-01,0.074,
1987-02,0.072,
1987-03,0.073,
1987-04,0.074,
1987-05,0.078,
1987-06,0.077,
1987-07,0.077,
1987-08,0.076,
1987-09,0.074,
1987-10,0.078,
1987-11,0.081,
1987-12,0.082,
1988-01,0.081,
1988-02,0.079,
1988-03,0.087,
1988-04,0.088,
1988-05,0.084,
1988-06,0.087,
1988-07,0.087,
1988-08,0.084,
1988-09,0.087,
1988-10,0.092,
1988-11,0.092,
1988-12,0.095,
1989-01,0.092,
1989-02,0.092,
1989-03,0.094,
1989-04,0.096,
1989-05,0.089,
1989-06,0.089,
