"",BBFN1.M.DE.N.1.A.HR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Croatia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:17,
1995-01,0.198,
1995-02,0.180,
1995-03,0.186,
1995-04,0.206,
1995-05,0.209,
1995-06,0.221,
1995-07,0.209,
1995-08,0.211,
1995-09,0.213,
1995-10,0.209,
1995-11,0.228,
1995-12,0.236,
1996-01,0.225,
1996-02,0.215,
1996-03,0.240,
1996-04,0.237,
1996-05,0.236,
1996-06,0.264,
1996-07,0.261,
1996-08,0.259,
1996-09,0.264,
1996-10,0.259,
1996-11,0.266,
1996-12,0.265,
1997-01,0.255,
1997-02,0.258,
1997-03,0.265,
1997-04,0.266,
1997-05,0.274,
1997-06,0.297,
1997-07,0.292,
1997-08,0.290,
1997-09,0.288,
1997-10,0.281,
1997-11,0.291,
1997-12,0.301,
1998-01,0.287,
1998-02,0.299,
1998-03,0.311,
1998-04,0.326,
1998-05,0.344,
1998-06,0.347,
1998-07,0.350,
1998-08,0.335,
1998-09,0.324,
1998-10,0.316,
1998-11,0.322,
1998-12,0.318,
1999-01,0.307,
1999-02,0.309,
1999-03,0.330,
1999-04,0.335,
1999-05,0.327,
1999-06,0.337,
1999-07,0.330,
1999-08,0.326,
1999-09,0.330,
1999-10,0.348,
1999-11,0.341,
1999-12,0.324,
2000-01,0.324,
2000-02,0.332,
2000-03,0.344,
2000-04,0.346,
2000-05,0.349,
2000-06,0.388,
2000-07,0.372,
2000-08,0.365,
2000-09,0.372,
2000-10,0.372,
2000-11,0.374,
2000-12,0.367,
2001-01,0.354,
2001-02,0.378,
2001-03,0.391,
2001-04,0.380,
2001-05,0.384,
2001-06,0.400,
2001-07,0.401,
2001-08,0.409,
2001-09,0.416,
2001-10,0.416,
2001-11,0.428,
2001-12,0.411,
2002-01,0.408,
2002-02,0.436,
2002-03,0.415,
2002-04,0.403,
2002-05,0.411,
2002-06,0.401,
2002-07,0.411,
2002-08,0.397,
2002-09,0.420,
2002-10,0.438,
2002-11,0.467,
2002-12,0.421,
2003-01,0.431,
2003-02,0.437,
2003-03,0.448,
2003-04,0.468,
2003-05,0.467,
2003-06,0.479,
2003-07,0.470,
2003-08,0.463,
2003-09,0.460,
2003-10,0.470,
2003-11,0.521,
2003-12,0.516,
2004-01,0.524,
2004-02,0.529,
2004-03,0.550,
2004-04,0.575,
2004-05,0.586,
2004-06,0.475,
2004-07,0.459,
2004-08,0.521,
2004-09,0.494,
2004-10,0.456,
2004-11,0.475,
2004-12,0.435,
2005-01,0.428,
2005-02,0.437,
2005-03,0.465,
2005-04,0.492,
2005-05,0.480,
2005-06,0.508,
2005-07,0.483,
2005-08,0.473,
2005-09,0.478,
2005-10,0.472,
2005-11,0.479,
2005-12,0.473,
2006-01,0.473,
2006-02,0.520,
2006-03,0.520,
2006-04,0.553,
2006-05,0.566,
2006-06,0.539,
2006-07,0.498,
2006-08,0.495,
2006-09,0.517,
2006-10,0.520,
2006-11,0.533,
2006-12,0.539,
2007-01,0.530,
2007-02,0.559,
2007-03,0.649,
2007-04,0.578,
2007-05,0.635,
2007-06,0.631,
2007-07,0.647,
2007-08,0.628,
2007-09,0.684,
2007-10,0.725,
2007-11,0.706,
2007-12,0.632,
2008-01,0.658,
2008-02,0.692,
2008-03,0.719,
2008-04,0.739,
2008-05,0.722,
2008-06,0.709,
2008-07,0.708,
2008-08,0.712,
2008-09,0.737,
2008-10,0.765,
2008-11,0.746,
2008-12,0.736,
2009-01,0.709,
2009-02,0.734,
2009-03,0.747,
2009-04,0.755,
2009-05,0.764,
2009-06,0.766,
2009-07,0.792,
2009-08,0.785,
2009-09,0.781,
2009-10,0.736,
2009-11,0.773,
2009-12,0.730,
2010-01,0.702,
2010-02,0.720,
2010-03,0.717,
2010-04,0.719,
2010-05,0.734,
2010-06,0.755,
2010-07,0.780,
2010-08,0.743,
2010-09,0.743,
2010-10,0.750,
2010-11,0.730,
2010-12,0.697,
2011-01,0.678,
2011-02,0.718,
2011-03,0.730,
2011-04,0.758,
2011-05,0.769,
2011-06,0.778,
2011-07,0.750,
2011-08,0.806,
2011-09,0.790,
2011-10,0.811,
2011-11,0.807,
2011-12,1.002,
2012-01,0.976,
2012-02,0.785,
2012-03,0.788,
2012-04,0.802,
2012-05,0.825,
2012-06,0.801,
2012-07,0.775,
2012-08,0.730,
2012-09,0.749,
2012-10,0.757,
2012-11,0.773,
2012-12,0.721,
2013-01,0.730,
2013-02,0.704,
2013-03,0.740,
2013-04,0.772,
2013-05,0.785,
2013-06,0.736,
2013-07,0.718,
2013-08,0.715,
2013-09,0.728,
2013-10,0.750,
2013-11,0.741,
2013-12,0.696,
2014-01,0.705,
2014-02,0.705,
2014-03,0.722,
2014-04,0.731,
2014-05,0.705,
2014-06,0.712,
2014-07,0.718,
2014-08,0.707,
2014-09,0.706,
2014-10,0.701,
2014-11,0.670,
2014-12,0.641,
