"",BBFN1.M.DE.N.1.A.KR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:22,
1994-12,1.049,
1995-01,1.347,
1995-02,1.542,
1995-03,1.783,
1995-04,2.081,
1995-05,2.068,
1995-06,2.043,
1995-07,2.204,
1995-08,2.282,
1995-09,2.330,
1995-10,2.455,
1995-11,2.457,
1995-12,2.441,
1996-01,2.219,
1996-02,2.267,
1996-03,2.282,
1996-04,2.283,
1996-05,2.273,
1996-06,2.168,
1996-07,2.517,
1996-08,2.760,
1996-09,2.884,
1996-10,2.799,
1996-11,2.855,
1996-12,2.312,
1997-01,2.737,
1997-02,2.900,
1997-03,3.118,
1997-04,3.226,
1997-05,3.126,
1997-06,3.028,
1997-07,3.134,
1997-08,2.927,
1997-09,2.887,
1997-10,2.674,
1997-11,2.315,
1997-12,1.741,
1998-01,1.415,
1998-02,1.229,
1998-03,1.177,
1998-04,1.083,
1998-05,1.264,
1998-06,1.351,
1998-07,1.538,
1998-08,1.326,
1998-09,1.319,
1998-10,1.499,
1998-11,1.534,
1998-12,1.565,
1999-01,1.435,
1999-02,1.458,
1999-03,1.613,
1999-04,1.779,
1999-05,1.768,
1999-06,1.599,
1999-07,1.642,
1999-08,1.681,
1999-09,1.782,
1999-10,1.858,
1999-11,1.882,
1999-12,1.807,
2000-01,1.935,
2000-02,1.927,
2000-03,2.024,
2000-04,2.020,
2000-05,1.993,
2000-06,1.926,
2000-07,1.928,
2000-08,1.977,
2000-09,2.072,
2000-10,2.178,
2000-11,2.059,
2000-12,2.094,
2001-01,2.087,
2001-02,2.283,
2001-03,2.352,
2001-04,2.383,
2001-05,2.404,
2001-06,2.499,
2001-07,2.617,
2001-08,2.600,
2001-09,2.473,
2001-10,2.344,
2001-11,2.560,
2001-12,2.109,
2002-01,2.586,
2002-02,2.771,
2002-03,2.602,
2002-04,2.653,
2002-05,2.533,
2002-06,2.522,
2002-07,2.639,
2002-08,2.525,
2002-09,2.779,
2002-10,2.615,
2002-11,2.695,
2002-12,2.079,
2003-01,1.990,
2003-02,2.290,
2003-03,2.490,
2003-04,2.467,
2003-05,2.554,
2003-06,2.509,
2003-07,2.559,
2003-08,2.574,
2003-09,2.555,
2003-10,2.645,
2003-11,2.673,
2003-12,2.523,
2004-01,2.462,
2004-02,2.534,
2004-03,2.498,
2004-04,2.595,
2004-05,2.603,
2004-06,2.606,
2004-07,2.636,
2004-08,2.427,
2004-09,2.459,
2004-10,2.583,
2004-11,2.464,
2004-12,2.358,
2005-01,2.403,
2005-02,2.409,
2005-03,2.561,
2005-04,2.493,
2005-05,2.560,
2005-06,2.538,
2005-07,2.472,
2005-08,2.392,
2005-09,2.418,
2005-10,2.367,
2005-11,2.443,
2005-12,2.333,
2006-01,2.315,
2006-02,2.343,
2006-03,2.453,
2006-04,2.407,
2006-05,2.326,
2006-06,2.290,
2006-07,2.421,
2006-08,2.412,
2006-09,2.452,
2006-10,2.341,
2006-11,2.415,
2006-12,2.761,
2007-01,2.701,
2007-02,2.729,
2007-03,2.773,
2007-04,2.866,
2007-05,2.867,
2007-06,2.738,
2007-07,2.767,
2007-08,2.692,
2007-09,2.705,
2007-10,2.467,
2007-11,2.563,
2007-12,2.573,
2008-01,2.476,
2008-02,2.495,
2008-03,2.518,
2008-04,2.553,
2008-05,2.790,
2008-06,3.006,
2008-07,3.126,
2008-08,3.086,
2008-09,3.089,
2008-10,3.201,
2008-11,3.287,
2008-12,3.023,
2009-01,2.993,
2009-02,3.002,
2009-03,2.803,
2009-04,2.778,
2009-05,2.804,
2009-06,2.839,
2009-07,2.934,
2009-08,2.892,
2009-09,3.035,
2009-10,3.053,
2009-11,3.087,
2009-12,3.155,
2010-01,3.017,
2010-02,3.071,
2010-03,3.232,
2010-04,3.172,
2010-05,3.254,
2010-06,3.184,
2010-07,3.387,
2010-08,3.303,
2010-09,3.207,
2010-10,3.104,
2010-11,3.107,
2010-12,3.472,
2011-01,3.385,
2011-02,3.513,
2011-03,3.657,
2011-04,3.627,
2011-05,3.553,
2011-06,3.414,
2011-07,3.461,
2011-08,3.425,
2011-09,3.310,
2011-10,3.387,
2011-11,3.347,
2011-12,3.553,
2012-01,3.497,
2012-02,3.592,
2012-03,3.594,
2012-04,3.624,
2012-05,3.727,
2012-06,3.768,
2012-07,3.899,
2012-08,3.858,
2012-09,3.744,
2012-10,3.745,
2012-11,3.664,
2012-12,3.828,
2013-01,3.824,
2013-02,3.469,
2013-03,3.320,
2013-04,3.168,
2013-05,3.266,
2013-06,3.310,
2013-07,3.133,
2013-08,3.179,
2013-09,3.209,
2013-10,3.171,
2013-11,3.018,
2013-12,3.000,
2014-01,3.187,
2014-02,3.006,
2014-03,3.149,
2014-04,3.177,
2014-05,3.144,
2014-06,3.193,
2014-07,3.224,
2014-08,3.080,
2014-09,3.035,
2014-10,3.216,
2014-11,3.295,
2014-12,3.210,
