"",BBFN1.M.DE.N.1.A.SE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:13,
1994-12,2.203,
1995-01,2.174,
1995-02,2.193,
1995-03,2.352,
1995-04,2.321,
1995-05,2.403,
1995-06,2.465,
1995-07,2.433,
1995-08,2.433,
1995-09,2.481,
1995-10,2.532,
1995-11,2.530,
1995-12,2.236,
1996-01,2.124,
1996-02,2.203,
1996-03,2.277,
1996-04,2.315,
1996-05,2.362,
1996-06,2.301,
1996-07,2.113,
1996-08,2.143,
1996-09,2.300,
1996-10,2.444,
1996-11,2.872,
1996-12,2.826,
1997-01,2.636,
1997-02,2.620,
1997-03,2.674,
1997-04,2.859,
1997-05,2.787,
1997-06,2.736,
1997-07,2.807,
1997-08,2.871,
1997-09,2.854,
1997-10,3.039,
1997-11,3.130,
1997-12,2.857,
1998-01,2.766,
1998-02,2.727,
1998-03,2.679,
1998-04,2.799,
1998-05,2.846,
1998-06,2.848,
1998-07,2.893,
1998-08,2.920,
1998-09,3.052,
1998-10,3.077,
1998-11,3.174,
1998-12,4.293,
1999-01,4.166,
1999-02,4.107,
1999-03,4.386,
1999-04,4.756,
1999-05,4.763,
1999-06,4.359,
1999-07,3.857,
1999-08,4.027,
1999-09,4.080,
1999-10,5.447,
1999-11,5.485,
1999-12,3.927,
2000-01,3.931,
2000-02,4.250,
2000-03,4.176,
2000-04,4.264,
2000-05,4.740,
2000-06,4.640,
2000-07,4.514,
2000-08,4.659,
2000-09,4.964,
2000-10,5.118,
2000-11,4.943,
2000-12,4.487,
2001-01,5.170,
2001-02,5.508,
2001-03,5.123,
2001-04,5.664,
2001-05,5.505,
2001-06,5.126,
2001-07,5.162,
2001-08,5.205,
2001-09,5.424,
2001-10,5.159,
2001-11,5.261,
2001-12,4.978,
2002-01,4.806,
2002-02,4.523,
2002-03,4.773,
2002-04,4.792,
2002-05,4.822,
2002-06,4.901,
2002-07,4.866,
2002-08,4.793,
2002-09,4.977,
2002-10,5.133,
2002-11,5.162,
2002-12,5.505,
2003-01,5.602,
2003-02,6.197,
2003-03,6.485,
2003-04,6.412,
2003-05,6.469,
2003-06,6.281,
2003-07,6.024,
2003-08,6.411,
2003-09,6.647,
2003-10,6.773,
2003-11,7.222,
2003-12,7.586,
2004-01,7.117,
2004-02,7.101,
2004-03,6.881,
2004-04,6.610,
2004-05,6.357,
2004-06,6.797,
2004-07,6.573,
2004-08,6.505,
2004-09,6.588,
2004-10,6.329,
2004-11,6.591,
2004-12,6.348,
2005-01,6.419,
2005-02,6.362,
2005-03,6.924,
2005-04,7.200,
2005-05,5.695,
2005-06,5.775,
2005-07,5.447,
2005-08,5.254,
2005-09,5.862,
2005-10,5.667,
2005-11,5.536,
2005-12,5.987,
2006-01,6.250,
2006-02,7.386,
2006-03,7.117,
2006-04,11.886,
2006-05,7.213,
2006-06,7.155,
2006-07,8.162,
2006-08,8.178,
2006-09,8.137,
2006-10,8.151,
2006-11,8.897,
2006-12,8.583,
2007-01,7.960,
2007-02,8.211,
2007-03,8.241,
2007-04,8.436,
2007-05,7.153,
2007-06,7.696,
2007-07,9.009,
2007-08,9.032,
2007-09,9.211,
2007-10,8.919,
2007-11,9.106,
2007-12,8.193,
2008-01,8.250,
2008-02,8.233,
2008-03,8.131,
2008-04,8.672,
2008-05,8.561,
2008-06,8.530,
2008-07,8.786,
2008-08,9.533,
2008-09,8.900,
2008-10,9.285,
2008-11,9.323,
2008-12,12.791,
2009-01,10.613,
2009-02,8.833,
2009-03,11.947,
2009-04,12.922,
2009-05,12.762,
2009-06,12.409,
2009-07,12.262,
2009-08,12.602,
2009-09,12.810,
2009-10,13.234,
2009-11,13.811,
2009-12,13.534,
2010-01,12.910,
2010-02,13.989,
2010-03,14.409,
2010-04,15.008,
2010-05,15.001,
2010-06,16.148,
2010-07,16.693,
2010-08,17.110,
2010-09,17.129,
2010-10,17.591,
2010-11,17.743,
2010-12,16.321,
2011-01,16.511,
2011-02,16.973,
2011-03,16.649,
2011-04,16.624,
2011-05,16.292,
2011-06,16.108,
2011-07,15.847,
2011-08,16.311,
2011-09,17.212,
2011-10,16.901,
2011-11,17.049,
2011-12,21.180,
2012-01,21.621,
2012-02,20.720,
2012-03,20.773,
2012-04,18.423,
2012-05,18.364,
2012-06,18.590,
2012-07,18.354,
2012-08,17.980,
2012-09,18.320,
2012-10,18.457,
2012-11,18.518,
2012-12,18.870,
2013-01,19.194,
2013-02,18.916,
2013-03,19.236,
2013-04,18.763,
2013-05,18.478,
2013-06,18.968,
2013-07,17.252,
2013-08,19.012,
2013-09,20.935,
2013-10,19.964,
2013-11,20.525,
2013-12,20.166,
2014-01,19.542,
2014-02,19.005,
2014-03,18.978,
2014-04,22.486,
2014-05,18.782,
2014-06,19.013,
2014-07,19.065,
2014-08,19.979,
2014-09,19.519,
2014-10,19.674,
2014-11,19.655,
2014-12,19.100,
