"",BBFN1.M.DE.N.1.A.US.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:40,
1968-12,0.087,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.193,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.184,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.269,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.156,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.089,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.276,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.290,
1976-01,0.324,
1976-02,0.335,
1976-03,0.431,
1976-04,0.490,
1976-05,0.496,
1976-06,0.474,
1976-07,0.523,
1976-08,0.584,
1976-09,0.654,
1976-10,0.728,
1976-11,0.512,
1976-12,0.418,
1977-01,0.442,
1977-02,0.408,
1977-03,0.439,
1977-04,0.516,
1977-05,0.586,
1977-06,0.518,
1977-07,0.495,
1977-08,0.676,
1977-09,0.648,
1977-10,0.647,
1977-11,0.675,
1977-12,0.644,
1978-01,0.582,
1978-02,0.500,
1978-03,0.561,
1978-04,0.628,
1978-05,0.817,
1978-06,0.689,
1978-07,0.630,
1978-08,0.589,
1978-09,0.683,
1978-10,0.602,
1978-11,0.853,
1978-12,0.758,
1979-01,0.939,
1979-02,0.835,
1979-03,0.778,
1979-04,1.060,
1979-05,1.126,
1979-06,1.142,
1979-07,1.142,
1979-08,1.237,
1979-09,1.189,
1979-10,1.245,
1979-11,1.171,
1979-12,1.515,
