"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.EUR.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:09,
1985-12,0.229,
1986-01,.,No value available
1986-02,.,No value available
1986-03,.,No value available
1986-04,.,No value available
1986-05,.,No value available
1986-06,.,No value available
1986-07,.,No value available
1986-08,.,No value available
1986-09,.,No value available
1986-10,.,No value available
1986-11,.,No value available
1986-12,0.293,
1987-01,.,No value available
1987-02,.,No value available
1987-03,.,No value available
1987-04,.,No value available
1987-05,.,No value available
1987-06,.,No value available
1987-07,.,No value available
1987-08,.,No value available
1987-09,.,No value available
1987-10,.,No value available
1987-11,.,No value available
1987-12,0.257,
1988-01,.,No value available
1988-02,.,No value available
1988-03,.,No value available
1988-04,.,No value available
1988-05,.,No value available
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,.,No value available
1988-10,.,No value available
1988-11,.,No value available
1988-12,0.342,
1989-01,.,No value available
1989-02,.,No value available
1989-03,.,No value available
1989-04,.,No value available
1989-05,.,No value available
1989-06,.,No value available
1989-07,.,No value available
1989-08,.,No value available
1989-09,.,No value available
1989-10,.,No value available
1989-11,.,No value available
1989-12,0.394,
1990-01,.,No value available
1990-02,.,No value available
1990-03,.,No value available
1990-04,.,No value available
1990-05,.,No value available
1990-06,.,No value available
1990-07,.,No value available
1990-08,.,No value available
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,0.555,
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,0.606,
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,.,No value available
1992-10,.,No value available
1992-11,.,No value available
1992-12,0.553,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,.,No value available
1993-11,.,No value available
1993-12,0.489,
1994-01,0.470,
1994-02,0.450,
1994-03,0.460,
1994-04,0.467,
1994-05,0.488,
1994-06,0.422,
1994-07,0.500,
1994-08,0.374,
1994-09,0.349,
1994-10,0.410,
1994-11,0.427,
1994-12,0.550,
1995-01,0.434,
1995-02,0.456,
1995-03,0.483,
1995-04,0.512,
1995-05,0.530,
1995-06,0.554,
1995-07,0.562,
1995-08,0.568,
1995-09,0.593,
1995-10,0.597,
1995-11,0.629,
1995-12,0.506,
1996-01,0.512,
1996-02,0.520,
1996-03,0.514,
1996-04,0.508,
1996-05,0.539,
1996-06,0.538,
1996-07,0.557,
1996-08,0.572,
1996-09,0.556,
1996-10,0.578,
1996-11,0.583,
1996-12,0.554,
1997-01,0.591,
1997-02,0.582,
1997-03,0.604,
1997-04,0.543,
1997-05,0.592,
1997-06,0.584,
1997-07,0.602,
1997-08,0.626,
1997-09,0.571,
1997-10,0.578,
1997-11,0.546,
1997-12,0.531,
