"",BBFN1.M.DE.N.1.L.AU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:40,
1994-07,0.084,
1994-08,0.069,
1994-09,0.071,
1994-10,0.074,
1994-11,0.068,
1994-12,0.078,
1995-01,0.075,
1995-02,0.084,
1995-03,0.077,
1995-04,0.054,
1995-05,0.057,
1995-06,0.055,
1995-07,0.059,
1995-08,0.069,
1995-09,0.085,
1995-10,0.085,
1995-11,0.079,
1995-12,0.097,
1996-01,0.078,
1996-02,0.098,
1996-03,0.076,
1996-04,0.086,
1996-05,0.088,
1996-06,0.082,
1996-07,0.077,
1996-08,0.095,
1996-09,0.093,
1996-10,0.100,
1996-11,0.109,
1996-12,0.127,
1997-01,0.097,
1997-02,0.118,
1997-03,0.129,
1997-04,0.115,
1997-05,0.121,
1997-06,0.117,
1997-07,0.102,
1997-08,0.107,
1997-09,0.104,
1997-10,0.101,
1997-11,0.111,
1997-12,0.130,
1998-01,0.111,
1998-02,0.102,
1998-03,0.118,
1998-04,0.109,
1998-05,0.125,
1998-06,0.142,
1998-07,0.127,
1998-08,0.138,
1998-09,0.133,
1998-10,0.127,
1998-11,0.146,
1998-12,0.139,
1999-01,0.113,
1999-02,0.110,
1999-03,0.147,
1999-04,0.135,
1999-05,0.154,
1999-06,0.150,
1999-07,0.142,
1999-08,0.150,
1999-09,0.129,
1999-10,0.130,
1999-11,0.128,
1999-12,0.150,
2000-01,0.148,
2000-02,0.142,
2000-03,0.131,
2000-04,0.156,
2000-05,0.155,
2000-06,0.148,
2000-07,0.148,
2000-08,0.233,
2000-09,0.294,
2000-10,0.295,
2000-11,0.320,
2000-12,0.246,
2001-01,0.231,
2001-02,0.250,
2001-03,0.201,
2001-04,0.198,
2001-05,0.222,
2001-06,0.192,
2001-07,0.201,
2001-08,0.219,
2001-09,0.192,
2001-10,0.224,
2001-11,0.201,
2001-12,0.265,
2002-01,0.224,
2002-02,0.201,
2002-03,0.213,
2002-04,0.199,
2002-05,0.199,
2002-06,0.200,
2002-07,0.205,
2002-08,0.201,
2002-09,0.209,
2002-10,0.217,
2002-11,0.220,
2002-12,0.266,
2003-01,0.228,
2003-02,0.242,
2003-03,0.232,
2003-04,0.238,
2003-05,0.219,
2003-06,0.231,
2003-07,0.282,
2003-08,0.281,
2003-09,0.114,
2003-10,0.139,
2003-11,0.135,
2003-12,0.186,
2004-01,0.163,
2004-02,0.143,
2004-03,0.114,
2004-04,0.137,
2004-05,0.121,
2004-06,0.141,
2004-07,0.165,
2004-08,0.125,
2004-09,0.129,
2004-10,0.129,
2004-11,0.108,
2004-12,0.158,
2005-01,0.129,
2005-02,0.123,
2005-03,0.136,
2005-04,0.128,
2005-05,0.126,
2005-06,0.134,
2005-07,0.124,
2005-08,0.162,
2005-09,0.135,
2005-10,0.147,
2005-11,0.173,
2005-12,0.242,
2006-01,0.196,
2006-02,0.230,
2006-03,0.167,
2006-04,0.175,
2006-05,0.195,
2006-06,0.181,
2006-07,0.162,
2006-08,0.156,
2006-09,0.157,
2006-10,0.165,
2006-11,0.162,
2006-12,0.200,
2007-01,0.153,
2007-02,0.124,
2007-03,0.153,
2007-04,0.160,
2007-05,0.175,
2007-06,0.203,
2007-07,0.195,
2007-08,0.191,
2007-09,0.232,
2007-10,0.201,
2007-11,0.209,
2007-12,0.281,
2008-01,0.263,
2008-02,0.221,
2008-03,0.208,
2008-04,0.262,
2008-05,0.274,
2008-06,0.224,
2008-07,0.208,
2008-08,0.183,
2008-09,0.144,
2008-10,0.138,
2008-11,0.109,
2008-12,0.196,
2009-01,0.157,
2009-02,0.146,
2009-03,0.150,
2009-04,0.128,
2009-05,0.112,
2009-06,0.172,
2009-07,0.161,
2009-08,0.180,
2009-09,0.236,
2009-10,0.222,
2009-11,0.217,
2009-12,0.209,
2010-01,0.114,
2010-02,0.169,
2010-03,0.185,
2010-04,0.150,
2010-05,0.277,
2010-06,0.264,
2010-07,0.225,
2010-08,0.209,
2010-09,0.203,
2010-10,0.176,
2010-11,0.188,
2010-12,0.304,
2011-01,0.157,
2011-02,0.180,
2011-03,0.293,
2011-04,0.215,
2011-05,0.256,
2011-06,0.204,
2011-07,0.198,
2011-08,0.192,
2011-09,0.245,
2011-10,0.222,
2011-11,0.210,
2011-12,0.261,
2012-01,0.194,
2012-02,0.211,
2012-03,0.272,
2012-04,0.254,
2012-05,0.203,
2012-06,0.326,
2012-07,0.298,
2012-08,0.258,
2012-09,0.249,
2012-10,0.223,
2012-11,0.219,
2012-12,0.266,
2013-01,0.284,
2013-02,0.204,
2013-03,0.243,
2013-04,0.288,
2013-05,0.196,
2013-06,0.280,
2013-07,0.229,
2013-08,0.222,
2013-09,0.234,
2013-10,0.217,
2013-11,0.212,
2013-12,0.261,
2014-01,0.246,
2014-02,0.158,
2014-03,0.246,
2014-04,0.173,
2014-05,0.164,
2014-06,0.193,
2014-07,0.226,
2014-08,0.195,
2014-09,0.273,
2014-10,0.211,
2014-11,0.228,
2014-12,0.495,
