"",BBFN1.M.DE.N.1.L.B0.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:53,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,94.263,
1995-02,93.509,
1995-03,97.293,
1995-04,95.966,
1995-05,98.315,
1995-06,97.874,
1995-07,97.529,
1995-08,96.686,
1995-09,99.429,
1995-10,100.243,
1995-11,101.707,
1995-12,97.462,
1996-01,95.853,
1996-02,99.161,
1996-03,99.235,
1996-04,99.110,
1996-05,102.978,
1996-06,99.732,
1996-07,97.737,
1996-08,97.066,
1996-09,102.256,
1996-10,102.910,
1996-11,104.566,
1996-12,104.367,
1997-01,101.876,
1997-02,105.383,
1997-03,108.485,
1997-04,110.381,
1997-05,110.965,
1997-06,113.913,
1997-07,115.926,
1997-08,111.150,
1997-09,114.873,
1997-10,118.903,
1997-11,117.805,
1997-12,121.047,
1998-01,118.816,
1998-02,120.883,
1998-03,127.277,
1998-04,132.254,
1998-05,133.413,
1998-06,131.681,
1998-07,132.428,
1998-08,130.650,
1998-09,133.501,
1998-10,138.679,
1998-11,137.594,
1998-12,135.602,
1999-01,135.857,
1999-02,136.520,
1999-03,142.927,
1999-04,144.420,
1999-05,148.669,
1999-06,156.057,
1999-07,161.952,
1999-08,165.149,
1999-09,168.786,
1999-10,175.615,
1999-11,178.187,
1999-12,194.809,
2000-01,201.456,
2000-02,211.890,
2000-03,213.814,
2000-04,212.273,
2000-05,221.665,
2000-06,233.190,
2000-07,237.367,
2000-08,254.753,
2000-09,284.914,
2000-10,293.277,
2000-11,286.770,
2000-12,323.049,
2001-01,333.333,
2001-02,337.766,
2001-03,332.373,
2001-04,335.949,
2001-05,334.824,
2001-06,340.695,
2001-07,353.349,
2001-08,359.210,
2001-09,365.569,
2001-10,369.528,
2001-11,367.103,
2001-12,372.937,
2002-01,378.304,
2002-02,389.286,
2002-03,386.060,
2002-04,393.791,
2002-05,405.837,
2002-06,400.500,
2002-07,397.749,
2002-08,396.542,
2002-09,404.461,
2002-10,408.041,
2002-11,408.385,
2002-12,402.561,
2003-01,403.677,
2003-02,406.069,
2003-03,403.172,
2003-04,409.056,
2003-05,411.678,
2003-06,418.923,
2003-07,421.066,
2003-08,422.322,
2003-09,421.785,
2003-10,412.091,
2003-11,417.180,
2003-12,411.811,
2004-01,412.101,
2004-02,392.919,
2004-03,387.501,
2004-04,381.851,
2004-05,394.604,
2004-06,398.292,
2004-07,398.332,
2004-08,394.207,
2004-09,392.096,
2004-10,384.735,
2004-11,382.050,
2004-12,376.461,
2005-01,373.837,
2005-02,378.635,
2005-03,380.898,
2005-04,376.009,
2005-05,379.894,
2005-06,383.723,
2005-07,380.039,
2005-08,382.454,
2005-09,390.906,
2005-10,400.294,
2005-11,403.213,
2005-12,414.377,
2006-01,417.292,
2006-02,432.272,
2006-03,437.310,
2006-04,435.791,
2006-05,445.329,
2006-06,456.020,
2006-07,454.785,
2006-08,457.289,
2006-09,479.417,
2006-10,479.045,
2006-11,484.535,
2006-12,479.025,
2007-01,487.098,
2007-02,493.358,
